bvh_overlap_pair_count,object_a,object_b,bbox_extent_x,bbox_extent_y,bbox_extent_z,error
35878,hyp7,Cuticle,0.5764656662940979,7.4262285232543945,1.3945380449295044,
7495,hyp7,PVDL,0.41002151370048523,6.5152974128723145,1.3945380449295044,
7036,hyp7,PVDR,0.2759942412376404,6.515296936035156,1.3945380449295044,
6993,AVL,RMEV,0.18314751982688904,6.716479301452637,1.2021489143371582,
6804,AVL,PVR,0.18314749002456665,6.717302322387695,1.2035269737243652,
6268,SMBDL,SMDDL,0.2965319752693176,6.720758438110352,1.1552143096923828,
5943,SIAVL,SMDVR,0.21724417805671692,6.775381088256836,1.3809324502944946,
5207,RMEV,PVR,0.18314749002456665,6.716114044189453,1.202148675918579,
5100,SIBVL,SMDVL,0.2986275255680084,6.791425704956055,1.459934949874878,
4775,AVL,PDEL,0.18314751982688904,6.326817989349365,1.8104093074798584,
4337,PVR,PDEL,0.18314749002456665,6.326817989349365,1.2035269737243652,
4322,SIBDL,SMBDL,0.2965319752693176,6.7118000984191895,1.1552144289016724,
4307,AVL,VB5,0.1272646188735962,3.6077442169189453,0.7147881388664246,
4268,PDER,PDEL,0.1208886057138443,6.326817512512207,1.8104091882705688,
4148,SIAVR,SMDVL,0.1884668916463852,6.775379180908203,1.3809318542480469,
4039,AVL,PDER,0.1208885908126831,6.326817989349365,1.810409426689148,
4020,RMEV,PDEL,0.18321090936660767,6.326817989349365,1.2021489143371582,
4008,RMEV,PDER,0.1388207972049713,6.326817989349365,1.2021489143371582,
3997,SIBDL,SMDDL,0.29653200507164,6.7118000984191895,1.1552143096923828,
3824,SIAVR,SIBVL,0.1884668618440628,6.775379180908203,1.3809317350387573,
3609,PDER,PVR,0.12088857591152191,6.326817989349365,1.2035269737243652,
3473,RMEV,PVM,0.18321090936660767,3.484663724899292,1.2021489143371582,
3429,PVDL,PDEL,0.40212854743003845,6.326817989349365,1.8104093074798584,
3343,VC3,PVR,0.16386720538139343,3.6381752490997314,1.2035269737243652,
3288,HSNR,PVR,0.18314749002456665,3.506002187728882,1.2035269737243652,
3250,AVL,VB3,0.1266040951013565,3.0272560119628906,2.9261159896850586,
3185,PLNR,SIAVR,0.1884668618440628,6.713883399963379,1.0834625959396362,
3133,VC1,PDER,0.1208885908126831,3.2349960803985596,1.810409426689148,
3070,PLNL,SIBVR,0.24494458734989166,6.7186970710754395,1.0885813236236572,
3041,VB5,PDEL,0.1272646188735962,3.6077442169189453,0.7147881388664246,
3040,HSNR,PDER,0.21533504128456116,3.29428768157959,1.810409426689148,
3012,PVM,PDER,0.1208885908126831,3.484663724899292,1.810409426689148,
3005,DB4,PVR,0.18314749002456665,4.590697288513184,1.2035269737243652,
2996,AVL,HSNR,0.18314751982688904,3.5470216274261475,3.0788588523864746,
2970,VB5,RMEV,0.1272646188735962,3.6077442169189453,0.7147881388664246,
2963,AVL,PVDL,0.18314747512340546,6.5152974128723145,3.3599042892456055,
2959,PVM,PDEL,0.39131104946136475,3.484663724899292,1.8104093074798584,
2935,AVL,PVM,0.18314751982688904,3.484663724899292,2.3250389099121094,
2934,PVM,PVDL,0.39131101965904236,3.484663724899292,2.3250389099121094,
2920,Cuticle,PVDR,0.2766122817993164,6.515296936035156,2.1954100131988525,
2919,AVL,VB6,0.12740878760814667,3.4686222076416016,0.7148036360740662,
2919,AFDL,ASEL,0.10021083056926727,0.9073808193206787,0.5494351387023926,
2906,VB6,PVM,0.12740878760814667,2.859586715698242,0.7148036360740662,
2878,PVR,PVDL,0.18314746022224426,6.5152974128723145,1.2035269737243652,
2851,VC1,PVM,0.13821054995059967,2.2584609985351562,2.3250389099121094,
2782,VB6,RMEV,0.12740878760814667,3.4686222076416016,0.7147887945175171,
2770,VB5,PVR,0.127264603972435,3.6077442169189453,0.7147881388664246,
2720,HSNR,PDEL,0.18362128734588623,3.294288158416748,1.8104093074798584,
2715,AVL,VA6,0.12916411459445953,2.6837399005889893,0.6764017343521118,
2713,PDER,PVDL,0.12088854610919952,6.326817989349365,1.810409426689148,
2712,VA7,PVR,0.12751370668411255,2.6786749362945557,0.8011362552642822,
2704,ASEL,ASKL,0.10020710527896881,0.9140832424163818,0.7764143943786621,
2696,AVL,VA7,0.12751372158527374,2.6786749362945557,0.9196809530258179,
2681,PLNR,SMDVL,0.2413676381111145,6.714080810546875,1.0834625959396362,
2666,VA8,PVR,0.12852667272090912,2.5171399116516113,0.7074784636497498,
2640,DVC,PVT,0.17443934082984924,6.368766784667969,1.1848012208938599,
2636,DVA,PVT,0.17443934082984924,6.368766784667969,1.197988748550415,
2600,PVNR,PVR,0.17791789770126343,6.88487434387207,1.2035269737243652,
2589,RMEV,PVDL,0.1832108497619629,6.5152974128723145,1.2021489143371582,
2586,VB5,PDER,0.1208885908126831,3.6077442169189453,0.7147881388664246,
2580,PVT,PVR,0.17443934082984924,6.368765830993652,1.197988748550415,
2553,PVNL,PVT,0.17443934082984924,6.368766784667969,1.197988748550415,
2539,AVL,VB7,0.12063652276992798,3.45656156539917,0.6179589629173279,
2534,PVNR,DVC,0.17791791260242462,6.750666618347168,1.18682861328125,
2520,VC2,PVR,0.1362910270690918,3.2397727966308594,1.1998927593231201,
2516,HSNR,RMEV,0.20114311575889587,3.5063676834106445,1.2021489143371582,
2514,VC3,PDEL,0.16386723518371582,3.6381752490997314,1.8104093074798584,
2497,PVNR,PVT,0.17443934082984924,6.368766784667969,1.197988748550415,
2489,VC1,PDEL,0.13821054995059967,3.2349965572357178,1.8104093074798584,
2478,VB6,PDEL,0.12740878760814667,3.4686222076416016,0.7148036360740662,
2437,VB3,PVR,0.1266040802001953,3.0272560119628906,1.2035269737243652,
2436,VB5,PVM,0.1272646188735962,3.484663724899292,0.7147881388664246,
2435,AWBL,ASKL,0.10020710527896881,0.9047591686248779,0.5207388401031494,
2431,VB7,VB6,0.12063652276992798,2.6686899662017822,0.6179589629173279,
2426,AVL,DB4,0.18314751982688904,4.590697288513184,2.6009442806243896,
2413,PVNL,RIAL,0.1408010870218277,0.1527113914489746,0.16522681713104248,
2409,PVNL,PVR,0.1755896955728531,6.884775638580322,1.2035269737243652,
2408,VB5,PVDL,0.1272645741701126,3.6077442169189453,0.7147881388664246,
2406,VB3,PDEL,0.1266040951013565,3.0272560119628906,1.8104093074798584,
2386,ASHL,ASEL,0.10021103918552399,0.9119997024536133,0.902502179145813,
2365,VC2,PDEL,0.13629105687141418,3.235356569290161,1.5031919479370117,
2353,VC2,VB3,0.1266040951013565,3.0272560119628906,1.5031919479370117,
2340,ASIL,ASKL,0.10020710527896881,0.9186382293701172,0.706573486328125,
2339,DA5,PDER,0.12088866531848907,3.2564353942871094,1.810409426689148,
2330,PLNR,SIBVL,0.2413676381111145,6.718690872192383,1.0834625959396362,
2318,VB7,RMEV,0.12063652276992798,3.45656156539917,0.6179589629173279,
2315,DA5,VC1,0.13821054995059967,2.881237030029297,2.8929977416992188,
2313,AVL,VC3,0.16386722028255463,3.6381752490997314,2.61763072013855,
2309,AVL,HSNL,0.14080111682415009,3.54559326171875,3.075582504272461,
2308,PVNR,PVNL,0.1755896955728531,6.935949325561523,5.862839221954346,
2304,VB3,RMEV,0.1266040951013565,3.0272560119628906,1.2021489143371582,
2302,ASKR,AFDR,0.10020691156387329,0.9073808193206787,0.5494350790977478,
2299,PVNL,AVFL,0.1755896955728531,6.767136573791504,3.8168818950653076,
2299,ASHL,AWAL,0.10021063685417175,0.9110910892486572,0.6043447256088257,
2298,hyp1,Arcade_Cell_Ant,0.13933193683624268,0.3285250663757324,0.13113659620285034,
2292,ASEL,ASJL,0.1002107560634613,0.8822474479675293,0.3944781720638275,
2291,PVNR,DVA,0.17791791260242462,6.816188812255859,5.863070964813232,
2290,VB6,PDER,0.1208885908126831,3.4686222076416016,0.7148036360740662,
2283,VC3,PDER,0.1208886057138443,3.6381752490997314,1.810409426689148,
2250,HSNR,VC1,0.13821054995059967,3.418789863586426,2.9546384811401367,
2243,DVC,DVA,0.17815278470516205,6.750666618347168,1.18682861328125,
2232,VB6,PVDL,0.12740874290466309,3.4686222076416016,0.7148036360740662,
2232,VA7,VB3,0.1266040951013565,1.8310480117797852,0.9196809530258179,
2223,VC1,PVDL,0.1382105052471161,3.3333964347839355,3.0012364387512207,
2221,PVM,PVR,0.18314749002456665,3.484663724899292,1.2035269737243652,
2216,AWBR,ASJR,0.1002107560634613,0.8822474479675293,0.36493492126464844,
2210,PVNL,DVC,0.1755896955728531,6.750666618347168,1.18682861328125,
2206,DVC,PVR,0.17815276980400085,6.750421524047852,1.184801459312439,
2206,VB6,PVR,0.12740877270698547,3.4686222076416016,0.7147886753082275,
2202,DA5,PVDL,0.3823425769805908,3.2564353942871094,2.8929977416992188,
2201,AWAR,ASJR,0.10021063685417175,0.8822474479675293,0.3944781422615051,
2192,AVL,VC2,0.136291041970253,3.2397727966308594,1.5031919479370117,
2184,DB4,VA7,0.12751372158527374,2.5893733501434326,0.9196809530258179,
2179,VA6,PVR,0.12916409969329834,2.6837399005889893,0.6764016151428223,
2174,ADFL,AWAL,0.10021063685417175,0.8722689151763916,0.37856346368789673,
2172,AWBR,ASKR,0.10020710527896881,0.904759407043457,0.5207387804985046,
2168,AVKL,HSNL,0.2253587394952774,3.54559326171875,3.075582504272461,
2166,VA9,PVR,0.1285405457019806,2.2623116970062256,0.4284435510635376,
2152,ASEL,ASIL,0.10021193325519562,0.9140558242797852,0.706573486328125,
2151,ASHL,AWBL,0.10021103918552399,0.9047589302062988,0.5207388401031494,
2140,AVL,VA9,0.1285405457019806,2.2623116970062256,0.4284435510635376,
2136,AVL,VC1,0.13821054995059967,3.418789863586426,3.0012364387512207,
2130,VB6,VB5,0.1272646188735962,2.8769757747650146,0.714788019657135,
2129,AWBL,AFDL,0.10021083056926727,0.9046721458435059,0.5207388401031494,
2128,hyp7,Seam_Cells_Left,0.1858576089143753,7.136270999908447,1.2844129800796509,
2125,DB4,VC3,0.16386723518371582,2.3029706478118896,2.2827212810516357,
2124,VA6,VB3,0.1266040951013565,2.42294979095459,0.6764017343521118,
2123,RIAL,PVR,0.1408010870218277,0.10153794288635254,0.164564311504364,
2119,ASEL,AWAL,0.10021063685417175,0.9110910892486572,0.6043447256088257,
2113,VB5,VB3,0.1266040951013565,2.364145278930664,0.7147881388664246,
2111,HSNL,RIML,0.1408011019229889,0.1747303009033203,0.27322202920913696,
2105,hyp2,hyp1,0.1415475606918335,0.3611595630645752,0.12722641229629517,
2102,VA6,PDEL,0.12916412949562073,2.6837399005889893,0.6764017343521118,
2101,AFDL,ASKL,0.1002069041132927,0.9073808193206787,0.5494351387023926,
2099,DB4,PDEL,0.3714604675769806,4.590697288513184,1.8104093074798584,
2096,ASKR,ASJR,0.10020682215690613,0.8822474479675293,0.3944781422615051,
2095,PVNL,PVCL,0.17425960302352905,6.803739070892334,1.19040846824646,
2094,VC1,RMEV,0.13821054995059967,3.418789863586426,1.2021489143371582,
