bbox_intersection_volume,object_a,object_b,extent_x,extent_y,extent_z
13.366450587072356,DVA,SMDVR,0.33108454942703247,6.8031721115112305,5.934248447418213
12.246470091416482,DVA,SMDVL,0.30334287881851196,6.803171157836914,5.934248447418213
9.221146673396595,Cuticle,DVA,0.6131795644760132,6.84985876083374,2.1954100131988525
9.014592422719026,DVA,SIBDL,0.29653200507164,6.755603790283203,4.4999775886535645
9.004695638287545,SIBDL,SMDVL,0.29653200507164,6.748187065124512,4.4999775886535645
8.975688998112698,DVA,PVDL,0.41002151370048523,6.5152974128723145,3.3599042892456055
8.764217383019075,CANR,DVA,0.21699105203151703,6.806213855743408,5.934248447418213
8.468748547412734,ALA,DVA,0.540250301361084,6.771638870239258,2.3148903846740723
8.211536372695997,DVA,DB3,0.27090972661972046,5.621344566345215,5.392120838165283
8.151842020556167,DB3,SMDVL,0.26792481541633606,5.621344566345215,5.412558555603027
8.066782504251453,CANL,DVA,0.19972343742847443,6.806213855743408,5.934248447418213
7.5908094301774796,Cuticle,Excretory_Cell,0.5428999662399292,7.4738969802856445,1.8707733154296875
7.329757294286626,Cuticle,ALA,0.540250301361084,6.792830467224121,1.9973022937774658
7.247697616930675,SMDVR,PVDL,0.33108454942703247,6.5152974128723145,3.3599042892456055
7.207536739270559,CANR,SMDVL,0.17721889913082123,6.768517017364502,6.0087385177612305
7.140241846350389,PVNR,PVNL,0.1755896955728531,6.935949325561523,5.862839221954346
7.1102756471825295,PVNR,DVA,0.17791791260242462,6.816188812255859,5.863070964813232
7.0709523656121345,PVNR,SMDVL,0.17791791260242462,6.778491973876953,5.863070964813232
7.016515039919598,PVNL,DVA,0.1755896955728531,6.815762519836426,5.862839221954346
6.977707873051149,PVNL,SMDVL,0.1755896955728531,6.7780656814575195,5.862839221954346
6.924858551886531,Excretory_Cell,DVA,0.5428999662399292,6.818202972412109,1.8707733154296875
6.918388664566232,AVL,SMDVL,0.18314751982688904,6.7684645652771,5.581022262573242
6.918388664566232,AVL,DVA,0.18314751982688904,6.7684645652771,5.581022262573242
6.724397038024745,SIBDL,DB3,0.26582926511764526,5.621344566345215,4.4999775886535645
6.7208405057046425,AVL,PVNR,0.17791791260242462,6.7684645652771,5.581022262573242
6.694601468720171,CANL,SMDVR,0.16460682451725006,6.768517971038818,6.0087385177612305
6.632892220512123,AVL,PVNL,0.1755896955728531,6.7684645652771,5.581022262573242
6.373828042512269,ALA,Excretory_Cell,0.540250301361084,6.739982604980469,1.7504372596740723
6.270799137553276,SMDVR,SMDVL,0.14974646270275116,6.803171157836914,6.155380725860596
6.259925799679594,DVA,Cube,2.027186393737793,2.027186393737793,1.523287296295166
6.055255690947169,DVA,PVDR,0.2766122817993164,6.515296936035156,3.359903573989868
6.002807508174514,ALA,PVDL,0.3980061113834381,6.5152974128723145,2.3148903846740723
5.969969640479777,hyp7,Cuticle,0.5764656662940979,7.4262285232543945,1.3945380449295044
5.864844890042924,Cuticle,PVDL,0.41002151370048523,6.5152974128723145,2.1954100131988525
5.763942580092935,PVNR,SMDVR,0.1450311690568924,6.7784929275512695,5.863070964813232
5.763351689146398,PVNL,SMDVR,0.1450311541557312,6.778066635131836,5.862839221954346
5.653710150847853,DVA,AVKL,0.2253587543964386,6.713657379150391,3.7368006706237793
5.646139243008113,AVKL,SMDVR,0.2253587543964386,6.704667091369629,3.7368006706237793
5.560087176322794,hyp7,Excretory_Cell,0.5428999662399292,7.3439788818359375,1.3945380449295044
5.5408837063734016,AVL,SIBDL,0.18314751982688904,6.72307014465332,4.4999775886535645
5.5066240845805705,hyp7,DVA,0.5764656662940979,6.84985876083374,1.3945380449295044
5.4828552967891415,CANR,DB3,0.18020381033420563,5.621344566345215,5.412558555603027
5.478545365836181,AVL,SMDVR,0.1450311690568924,6.7684645652771,5.581022262573242
5.383018934097577,PVNR,SIBDL,0.17791789770126343,6.723507881164551,4.4999775886535645
5.312240865975699,PVNL,SIBDL,0.1755896955728531,6.723081588745117,4.4999775886535645
5.290607308230679,CANR,SIBDL,0.17512334883213043,6.7135329246521,4.4999775886535645
5.201650069137814,DVA,DA6,0.39448797702789307,3.8494458198547363,3.4253830909729004
5.167909698160327,SMDVL,PVDR,0.23607711493968964,6.515296936035156,3.359903573989868
5.161058481564412,ALA,SMDVR,0.33108454942703247,6.733942985534668,2.3148903846740723
5.122036489677779,SIBDL,PVDR,0.23398156464099884,6.515296936035156,3.359903573989868
5.117715750303501,hyp7,ALA,0.540250301361084,6.792830467224121,1.3945380449295044
4.944996779255722,Cuticle,SMDVR,0.33108454942703247,6.8031721115112305,2.1954100131988525
4.933108615715387,AVKL,PVDL,0.2253587543964386,6.515073776245117,3.3599042892456055
4.917042332572287,SMDVL,DB1,0.12480428814888,6.400582790374756,6.155380725860596
4.907702096546018,DA6,PVDL,0.3944876790046692,3.8494458198547363,3.2318153381347656
4.865964716230412,Excretory_Cell,PVDL,0.39922115206718445,6.5152974128723145,1.8707733154296875
4.7607798760557865,DVA,AVAL,0.18290436267852783,6.801231384277344,3.827070713043213
