object_name,safe_name,category_guess,stl_path,raw_triangles,exported_triangles,skipped_degenerate,min_x,min_y,min_z,max_x,max_y,max_z,span_x,span_y,span_z
hyp10,hyp10,hypodermis/seam,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp10.stl,2240,2240,0,-0.04392397031188011,4.1927361488342285,0.18826444447040558,0.031636398285627365,4.619907379150391,0.6482669115066528,0.07556036859750748,0.4271712303161621,0.46000248193740845
hyp9,hyp9,hypodermis/seam,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp9.stl,2096,2096,0,-0.04399491846561432,3.9946224689483643,0.07859139889478683,0.03170578181743622,4.386119842529297,0.37172946333885193,0.07570070028305054,0.3914973735809326,0.2931380569934845
hyp8,hyp8,hypodermis/seam,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp8.stl,1808,1808,0,-0.0885942280292511,4.001688003540039,0.023324059322476387,0.07743505388498306,4.2205424308776855,0.18301734328269958,0.16602927446365356,0.21885442733764648,0.15969328582286835
hyp11,hyp11,hypodermis/seam,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp11.stl,2768,2768,0,-0.08720945566892624,3.933873176574707,0.053254373371601105,0.07684049010276794,4.204285621643066,0.2075197845697403,0.16404995322227478,0.2704124450683594,0.1542654037475586
hyp7,hyp7,hypodermis/seam,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp7.stl,115408,115408,0,-0.28922805190086365,-3.3659322261810303,-0.7076897621154785,0.28723761439323425,4.060296058654785,0.6868475675582886,0.5764656662940979,7.4262285232543945,1.394537329673767
Seam_Cells_Left,Seam_Cells_Left,hypodermis/seam,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/Seam_Cells_Left.stl,11072,11072,0,0.10138000547885895,-3.0871129035949707,-0.45982134342193604,0.2933638393878937,3.9912021160125732,0.5522667169570923,0.19198383390903473,7.078314781188965,1.0120880603790283
hyp5,hyp5,hypodermis/seam,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp5.stl,10752,10752,0,-0.10364309698343277,-3.4258646965026855,0.5022537708282471,0.06597325205802917,-3.2241575717926025,0.6631128787994385,0.16961634159088135,0.201707124710083,0.1608591079711914
hyp4,hyp4,hypodermis/seam,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp4.stl,14080,14080,0,-0.08487589657306671,-3.478510856628418,0.5192886590957642,0.046207260340452194,-3.364372491836548,0.6625623106956482,0.1310831606388092,0.11413836479187012,0.14327365159988403
hyp2,hyp2,hypodermis/seam,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp2.stl,22784,22784,0,-0.09233454614877701,-3.5043742656707764,0.49820396304130554,0.04921301454305649,-3.140819549560547,0.6157164573669434,0.1415475606918335,0.3635547161102295,0.11751249432563782
hyp1,hyp1,hypodermis/seam,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp1.stl,20480,20480,0,-0.09407173842191696,-3.4944424629211426,0.48476487398147583,0.05163549259305,-3.104644536972046,0.6143240332603455,0.14570723474025726,0.3897979259490967,0.12955915927886963
Seam_Cells_Right,Seam_Cells_Right,hypodermis/seam,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/Seam_Cells_Right.stl,11072,11072,0,-0.29437389969825745,-3.0871129035949707,-0.4593680500984192,-0.10628318786621094,3.9912023544311523,0.5522666573524475,0.1880907118320465,7.078315258026123,1.0116347074508667
hyp3,hyp3,hypodermis/seam,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/hyp3.stl,12288,12288,0,-0.07167916744947433,-3.527763843536377,0.5350276827812195,0.032678671181201935,-3.2616055011749268,0.6615875363349915,0.10435783863067627,0.2661583423614502,0.12655985355377197
Cuticle,Cuticle,cuticle/body-envelope,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/Cuticle.stl,32096,32096,0,-0.3074254095554352,-3.527811050415039,-0.7171018123626709,0.3057541251182556,4.625528812408447,0.6913139820098877,0.6131795644760132,8.153339385986328,1.4084157943725586
Phar_Gland_g1_R,Phar_Gland_g1_R,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/Phar_Gland_g1_R.stl,2240,2240,0,-0.07326815277338028,-2.8536062240600586,0.3038907051086426,-0.03042377345263958,-2.532024383544922,0.4885469973087311,0.04284437745809555,0.3215818405151367,0.1846562922000885
Phar_Gland_g2_VR,Phar_Gland_g2_VR,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/Phar_Gland_g2_VR.stl,1984,1984,0,-0.09498491138219833,-2.590960741043091,0.2710514962673187,-0.0324191153049469,-2.3846566677093506,0.40404611825942993,0.06256579607725143,0.20630407333374023,0.1329946219921112
Phar_Gland_Dorsal_g2,Phar_Gland_Dorsal_g2,other-cell/anatomy,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/Phar_Gland_Dorsal_g2.stl,4160,4160,0,-0.10025740414857864,-3.4097442626953125,0.31297120451927185,0.05753076821565628,-2.387277364730835,0.5950590372085571,0.15778817236423492,1.0224668979644775,0.2820878326892853
Arcade_Cell_Ant,Arcade_Cell_Ant,other-cell/anatomy,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/Arcade_Cell_Ant.stl,15680,15680,0,-0.09109698981046677,-3.495954751968384,0.4888978600502014,0.04823494330048561,-3.173342704772949,0.6152755618095398,0.13933193683624268,0.32261204719543457,0.12637770175933838
Arcade_Cell_Post,Arcade_Cell_Post,other-cell/anatomy,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/Arcade_Cell_Post.stl,13824,13824,0,-0.09663344919681549,-3.4764716625213623,0.4726529121398926,0.05101413279771805,-3.088528871536255,0.623478889465332,0.14764758944511414,0.3879427909851074,0.15082597732543945
e1VR,e1VR,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/e1VR.stl,2624,2624,0,-0.08464497327804565,-3.462606906890869,0.5154579281806946,-0.03289839252829552,-3.143465518951416,0.5843719840049744,0.05174658074975014,0.3191413879394531,0.06891405582427979
e3VR,e3VR,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/e3VR.stl,2736,2736,0,-0.09171544760465622,-3.4478349685668945,0.512840747833252,-0.03277122974395752,-3.0897300243377686,0.5838468074798584,0.0589442178606987,0.358104944229126,0.07100605964660645
e2DR,e2DR,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/e2DR.stl,4368,4368,0,-0.05063549801707268,-3.4614062309265137,0.5828412771224976,-0.01918032206594944,-3.2485251426696777,0.6202481389045715,0.03145517408847809,0.21288108825683594,0.037406861782073975
e2DL,e2DL,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/e2DL.stl,4112,4112,0,-0.009822556748986244,-3.4614129066467285,0.5405835509300232,0.035553593188524246,-3.2515316009521484,0.6027805805206299,0.04537615180015564,0.20988130569458008,0.06219702959060669
e3D,e3D,other-cell/anatomy,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/e3D.stl,3040,3040,0,-0.040608324110507965,-3.445678234100342,0.5945448279380798,-0.002191668376326561,-3.0820705890655518,0.6174606084823608,0.038416653871536255,0.36360764503479004,0.022915780544281006
e1D,e1D,other-cell/anatomy,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/e1D.stl,3392,3392,0,-0.036284189671278,-3.4603586196899414,0.5957270264625549,-0.006453225389122963,-3.140094041824341,0.6175223588943481,0.029830964282155037,0.3202645778656006,0.021795332431793213
e2V,e2V,other-cell/anatomy,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/e2V.stl,4528,4528,0,-0.071652352809906,-3.463068962097168,0.5319565534591675,-0.002319173887372017,-3.254366397857666,0.5726233124732971,0.06933318078517914,0.20870256423950195,0.04066675901412964
pm1,pm1,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm1.stl,10048,10048,0,-0.09085673838853836,-3.4333317279815674,0.47107261419296265,0.04913719743490219,-3.0279691219329834,0.6085832118988037,0.13999393582344055,0.405362606048584,0.13751059770584106
pm2VR,pm2VR,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm2VR.stl,4800,4800,0,-0.06995386630296707,-3.426251173019409,0.5321440100669861,-0.02645975537598133,-3.2218196392059326,0.5888601541519165,0.04349411278963089,0.20443153381347656,0.05671614408493042
pm2VL,pm2VL,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm2VL.stl,4608,4608,0,-0.016675183549523354,-3.4263370037078857,0.5327340960502625,0.026845980435609818,-3.2228782176971436,0.5904794931411743,0.04352116584777832,0.2034587860107422,0.057745397090911865
pm2D,pm2D,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm2D.stl,4544,4544,0,-0.04000535234808922,-3.4236676692962646,0.5894641876220703,-0.0024872496724128723,-3.214796543121338,0.6161019206047058,0.037518102675676346,0.20887112617492676,0.026637732982635498
mc3DR,mc3DR,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mc3DR.stl,6992,6992,0,-0.1356070637702942,-2.5924620628356934,0.3674130439758301,-0.04066108912229538,-2.372154951095581,0.45334815979003906,0.09494597464799881,0.2203071117401123,0.08593511581420898
mc2V,mc2V,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mc2V.stl,6368,6368,0,-0.03842288628220558,-2.9254865646362305,0.3529045283794403,-0.004236022010445595,-2.5942420959472656,0.48833179473876953,0.03418686240911484,0.33124446868896484,0.13542726635932922
mc2DR,mc2DR,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mc2DR.stl,6336,6336,0,-0.10563604533672333,-2.9196207523345947,0.41421085596084595,-0.03879382461309433,-2.591569662094116,0.5868954658508301,0.066842220723629,0.3280510902404785,0.17268460988998413
mc1V,mc1V,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mc1V.stl,9024,9024,0,-0.03813748434185982,-3.4252007007598877,0.43245306611061096,-0.004796181805431843,-2.92264461517334,0.5690494179725647,0.03334130346775055,0.5025560855865479,0.13659635186195374
mc1DR,mc1DR,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mc1DR.stl,9312,9312,0,-0.10626943409442902,-3.4227826595306396,0.5361886620521545,-0.03019273281097412,-2.9174368381500244,0.6036245226860046,0.0760767012834549,0.5053458213806152,0.0674358606338501
pm8,pm8,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm8.stl,896,896,0,-0.09871543943881989,-2.3809638023376465,0.27982696890830994,0.055978912860155106,-2.3561582565307617,0.4341747760772705,0.1546943485736847,0.024805545806884766,0.15434780716896057
mc3V,mc3V,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mc3V.stl,6176,6176,0,-0.044486578553915024,-2.5955796241760254,0.24324628710746765,0.0014470145106315613,-2.3794896602630615,0.39290985465049744,0.045933593064546585,0.21608996391296387,0.14966356754302979
pm7VL,pm7VL,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm7VL.stl,4624,4624,0,-0.015619192272424698,-2.4946553707122803,0.24585312604904175,0.10336022824048996,-2.374354362487793,0.4132184386253357,0.11897942423820496,0.1203010082244873,0.16736531257629395
pm7D,pm7D,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm7D.stl,5184,5184,0,-0.10791823267936707,-2.481215000152588,0.35977059602737427,0.06576396524906158,-2.3702845573425293,0.48936179280281067,0.17368219792842865,0.1109304428100586,0.1295911967754364
pm6VL,pm6VL,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm6VL.stl,5536,5536,0,-0.01839638501405716,-2.5954504013061523,0.25380492210388184,0.10087950527667999,-2.4084298610687256,0.4232611358165741,0.11927589029073715,0.18702054023742676,0.16945621371269226
pm6D,pm6D,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm6D.stl,1128,1128,0,-0.10190405696630478,-2.5907654762268066,0.3770383298397064,0.05964735522866249,-2.399495840072632,0.4901110529899597,0.16155141592025757,0.1912696361541748,0.1130727231502533
mc3DL,mc3DL,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mc3DL.stl,1748,1748,0,-0.0020482055842876434,-2.5924315452575684,0.3673693835735321,0.09242776036262512,-2.372208833694458,0.45339348912239075,0.09447596967220306,0.22022271156311035,0.08602410554885864
pm6VR,pm6VR,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm6VR.stl,5024,5024,0,-0.143575981259346,-2.5954501628875732,0.25316524505615234,-0.025646481662988663,-2.408458709716797,0.4235136806964874,0.11792950332164764,0.18699145317077637,0.17034843564033508
pm5VL,pm5VL,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm5VL.stl,5008,5008,0,-0.01761713996529579,-2.92514967918396,0.35398346185684204,0.07034146785736084,-2.592489719390869,0.556800901889801,0.08795860409736633,0.3326599597930908,0.20281744003295898
pm5D,pm5D,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm5D.stl,5376,5376,0,-0.08475510030984879,-2.9186325073242188,0.41281360387802124,0.041909072548151016,-2.5908052921295166,0.6142057776451111,0.1266641765832901,0.32782721519470215,0.20139217376708984
mc2DL,mc2DL,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mc2DL.stl,6336,6336,0,-0.003924412652850151,-2.919621467590332,0.41421085596084595,0.06308339536190033,-2.5915727615356445,0.586995005607605,0.06700780987739563,0.3280487060546875,0.17278414964675903
pm5VR,pm5VR,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm5VR.stl,4368,4368,0,-0.11279521137475967,-2.924971103668213,0.3541973829269409,-0.024831639602780342,-2.592658281326294,0.5561738610267639,0.08796357363462448,0.33231282234191895,0.201976478099823
pm4VL,pm4VL,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm4VL.stl,3376,3376,0,-0.016075029969215393,-3.0495448112487793,0.4351933002471924,0.07133246213197708,-2.919799327850342,0.5644072890281677,0.08740749210119247,0.1297454833984375,0.12921398878097534
pm4D,pm4D,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm4D.stl,3352,3352,0,-0.08488952368497849,-3.043001651763916,0.5312889814376831,0.040893714874982834,-2.916334867477417,0.6213424205780029,0.12578323483467102,0.12666678428649902,0.09005343914031982
e3VL,e3VL,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/e3VL.stl,2736,2736,0,-0.009947014972567558,-3.4478354454040527,0.5128408074378967,0.0489971898496151,-3.0897302627563477,0.5838468670845032,0.058944202959537506,0.3581051826477051,0.07100605964660645
e1VL,e1VL,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/e1VL.stl,2624,2624,0,-0.009819849394261837,-3.462606906890869,0.5154579877853394,0.04192672297358513,-3.143465518951416,0.5843720436096191,0.05174657329916954,0.3191413879394531,0.06891405582427979
Phar_Gland_g1_L,Phar_Gland_g1_L,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/Phar_Gland_g1_L.stl,10176,10176,0,-0.014234507456421852,-2.85286021232605,0.3030652403831482,0.03198247402906418,-2.530062437057495,0.48928800225257874,0.04621697962284088,0.3227977752685547,0.18622276186943054
Phar_Gland_g2_VL,Phar_Gland_g2_VL,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/Phar_Gland_g2_VL.stl,1984,1984,0,-0.01281639002263546,-2.590960741043091,0.2710516154766083,0.05226663872599602,-2.3846564292907715,0.4040462374687195,0.06508302688598633,0.20630431175231934,0.1329946219921112
pm4VR,pm4VR,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm4VR.stl,3392,3392,0,-0.11385707557201385,-3.0498287677764893,0.4348773658275604,-0.0258730910718441,-2.9194278717041016,0.5644342303276062,0.08798398077487946,0.1304008960723877,0.12955686450004578
pm3VL,pm3VL,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm3VL.stl,6576,6576,0,-0.018467675894498825,-3.419351577758789,0.4720301032066345,0.04924149066209793,-3.04703688621521,0.5906681418418884,0.06770916283130646,0.3723146915435791,0.1186380386352539
pm3D,pm3D,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm3D.stl,5232,5232,0,-0.06831275671720505,-3.4159183502197266,0.5463932156562805,0.0272904671728611,-3.0442447662353516,0.6157834529876709,0.09560322761535645,0.371673583984375,0.06939023733139038
mc1DL,mc1DL,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mc1DL.stl,9312,9312,0,-0.011400636285543442,-3.4228272438049316,0.5362011790275574,0.06312760710716248,-2.917506217956543,0.6035539507865906,0.07452824711799622,0.5053210258483887,0.0673527717590332
pm3VR,pm3VR,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm3VR.stl,6320,6320,0,-0.091921366751194,-3.4193029403686523,0.47036826610565186,-0.02372094988822937,-3.046719789505005,0.5898585319519043,0.06820041686296463,0.37258315086364746,0.11949026584625244
pm7VR,pm7VR,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm7VR.stl,4768,4768,0,-0.14610514044761658,-2.494781494140625,0.24594464898109436,-0.02522648498415947,-2.3756790161132812,0.4129047095775604,0.12087865173816681,0.11910247802734375,0.16696006059646606
mu_bod_VL22,mu_bod_VL22,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VL22.stl,11552,11552,0,-0.01550709456205368,2.210836410522461,-0.2668570578098297,0.1206074059009552,3.329690933227539,-0.11086612194776535,0.13611450791358948,1.1188545227050781,0.15599092841148376
mu_bod_VL20,mu_bod_VL20,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VL20.stl,11648,11648,0,-0.02001575380563736,1.3035420179367065,-0.14999578893184662,0.13440416753292084,2.415127992630005,0.0805494487285614,0.1544199287891388,1.1115859746932983,0.23054523766040802
mu_bod_VL18,mu_bod_VL18,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VL18.stl,9600,9600,0,-0.018604137003421783,0.5116761922836304,-0.19174395501613617,0.15306629240512848,1.5108771324157715,0.09840599447488785,0.17167043685913086,0.9992009401321411,0.2901499569416046
mu_bod_VL16,mu_bod_VL16,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VL16.stl,6192,6192,0,-0.01818922907114029,-0.15723364055156708,-0.558564305305481,0.1524449586868286,0.5106613039970398,-0.17551976442337036,0.1706341803073883,0.6678949594497681,0.3830445408821106
mu_bod_VL14,mu_bod_VL14,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mu_bod_VL14.stl,8912,8912,0,-0.020927824079990387,-0.8300691246986389,-0.6692783832550049,0.14152368903160095,0.05678723007440567,-0.4386559724807739,0.16245150566101074,0.8868563771247864,0.23062241077423096
