object_name,safe_name,category_guess,stl_path,raw_triangles,exported_triangles,skipped_degenerate,min_x,min_y,min_z,max_x,max_y,max_z,span_x,span_y,span_z,repair_used_meshfix,repair_watertight_after,repair_winding_after,repair_faces_after
Sp_bag_A_3L,Sp_bag_A_3L,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_3L.stl,1216,1216,0,0.087968111038208,-0.4269909262657165,-0.5256308317184448,0.1417721807956695,-0.3730676174163818,-0.4265519082546234,0.0538040697574615,0.0539233088493347,0.0990789234638214,True,True,True,1216
Sp_bag_A_3R,Sp_bag_A_3R,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_3R.stl,1216,1216,0,0.0054271705448627,-0.4270533323287964,-0.5248215794563293,0.059435486793518,-0.3730545938014984,-0.4266436994075775,0.0540083162486553,0.0539987385272979,0.0981778800487518,False,True,True,1216
Sp_bag_A_3D,Sp_bag_A_3D,other-cell/anatomy,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_3D.stl,1216,1216,0,0.0276451595127582,-0.4280025064945221,-0.4662868678569793,0.1194142177700996,-0.3759498596191406,-0.4042519629001617,0.091769054532051,0.0520526468753814,0.0620349049568176,False,True,True,1216
Sp_bag_A_2V,Sp_bag_A_2V,other-cell/anatomy,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_2V.stl,1216,1216,0,0.0299992300570011,-0.4568401873111725,-0.5560472011566162,0.117388367652893,-0.4253642559051513,-0.4978394508361816,0.0873891413211822,0.0314759314060211,0.0582077503204345,False,True,True,1216
Sp_bag_A_2R,Sp_bag_A_2R,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_2R.stl,1216,1216,0,0.0049358829855918,-0.4573211967945099,-0.5312881469726562,0.0591709353029727,-0.4263465106487274,-0.4393081068992615,0.0542350523173809,0.0309746861457824,0.0919800400733947,False,True,True,1216
Sp_bag_A_2D,Sp_bag_A_2D,other-cell/anatomy,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_2D.stl,1216,1216,0,0.0273719578981399,-0.4576674401760101,-0.4729950129985809,0.1193587034940719,-0.4282214641571045,-0.4152712523937225,0.091986745595932,0.0294459760189056,0.0577237606048584,False,True,True,1216
Sp_bag_A_1R,Sp_bag_A_1R,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_1R.stl,6144,6144,0,0.0099955387413501,-0.4932940006256103,-0.5256936550140381,0.0620065182447433,-0.4575483202934265,-0.4363378286361694,0.0520109795033931,0.0357456803321838,0.0893558263778686,False,True,True,6144
Sp_bag_A_1L,Sp_bag_A_1L,neuron-or-cell,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_1L.stl,6144,6144,0,0.0857428163290023,-0.493101954460144,-0.5256052613258362,0.1383849531412124,-0.4575231969356537,-0.4367114007472992,0.05264213681221,0.0355787575244903,0.0888938605785369,False,True,True,6144
Sp_bag_A_1D,Sp_bag_A_1D,other-cell/anatomy,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_1D.stl,6144,6144,0,0.0313544198870658,-0.4929037988185882,-0.4707202911376953,0.1156426519155502,-0.4578904509544372,-0.4198143780231476,0.0842882320284843,0.035013347864151,0.0509059131145477,False,True,True,6144
Sp_bag_A_3V,Sp_bag_A_3V,other-cell/anatomy,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_A_3V.stl,1216,1216,0,0.0278092771768569,-0.4250780642032623,-0.5481275916099548,0.1182652786374092,-0.3715419471263885,-0.4858581721782684,0.0904560014605522,0.0535361170768737,0.0622694194316864,False,True,True,1216
