object_name,safe_name,category_guess,stl_path,raw_triangles,exported_triangles,skipped_degenerate,min_x,min_y,min_z,max_x,max_y,max_z,span_x,span_y,span_z,repair_used_meshfix,repair_watertight_after,repair_winding_after,repair_faces_after
pm2D,pm2D,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm2D.stl,4544,4544,0,-0.0400053523480892,-3.4236676692962646,0.5894641876220703,-0.0024872496724128,-3.214796543121338,0.6161019206047058,0.0375181026756763,0.2088711261749267,0.0266377329826354,False,True,True,4544
mc3DR,mc3DR,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mc3DR.stl,6992,6992,0,-0.1356070637702942,-2.5924620628356934,0.3674130439758301,-0.0406610891222953,-2.372154951095581,0.453348159790039,0.0949459746479988,0.2203071117401123,0.0859351158142089,False,True,True,6992
mc2V,mc2V,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mc2V.stl,6368,6368,0,-0.0384228862822055,-2.9254865646362305,0.3529045283794403,-0.0042360220104455,-2.5942420959472656,0.4883317947387695,0.0341868624091148,0.3312444686889648,0.1354272663593292,False,True,True,6368
mc2DR,mc2DR,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mc2DR.stl,6336,6336,0,-0.1056360453367233,-2.9196207523345947,0.4142108559608459,-0.0387938246130943,-2.591569662094116,0.5868954658508301,0.066842220723629,0.3280510902404785,0.1726846098899841,False,True,True,6336
mc1V,mc1V,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mc1V.stl,9024,9024,0,-0.0381374843418598,-3.425200700759888,0.4324530661106109,-0.0047961818054318,-2.92264461517334,0.5690494179725647,0.0333413034677505,0.5025560855865479,0.1365963518619537,False,True,True,9024
mc1DR,mc1DR,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mc1DR.stl,9312,9312,0,-0.106269434094429,-3.42278265953064,0.5361886620521545,-0.0301927328109741,-2.9174368381500244,0.6036245226860046,0.0760767012834549,0.5053458213806152,0.0674358606338501,False,True,True,9312
pm8,pm8,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm8.stl,896,896,0,-0.0987154394388198,-2.3809638023376465,0.2798269689083099,0.0559789128601551,-2.3561582565307617,0.4341747760772705,0.1546943485736847,0.0248055458068847,0.1543478071689605,True,True,True,896
mc3V,mc3V,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mc3V.stl,6176,6176,0,-0.044486578553915,-2.5955796241760254,0.2432462871074676,0.0014470145106315,-2.379489660263061,0.3929098546504974,0.0459335930645465,0.2160899639129638,0.1496635675430297,False,True,True,6176
pm7VL,pm7VL,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm7VL.stl,4624,4624,0,-0.0156191922724246,-2.4946553707122803,0.2458531260490417,0.1033602282404899,-2.374354362487793,0.4132184386253357,0.1189794242382049,0.1203010082244873,0.1673653125762939,False,True,True,4624
pm7D,pm7D,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm7D.stl,5184,5184,0,-0.107918232679367,-2.481215000152588,0.3597705960273742,0.0657639652490615,-2.3702845573425293,0.4893617928028106,0.1736821979284286,0.1109304428100586,0.1295911967754364,False,True,True,5184
pm6VL,pm6VL,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm6VL.stl,5536,5536,0,-0.0183963850140571,-2.5954504013061523,0.2538049221038818,0.1008795052766799,-2.4084298610687256,0.4232611358165741,0.1192758902907371,0.1870205402374267,0.1694562137126922,False,True,True,5536
pm6D,pm6D,muscle/pharynx-muscle,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm6D.stl,1128,1128,0,-0.1019040569663047,-2.590765476226806,0.3770383298397064,0.0596473552286624,-2.399495840072632,0.4901110529899597,0.1615514159202575,0.1912696361541748,0.1130727231502533,False,True,True,1128
