file,time_ns,speciesID,speciesName,number,nEvent,sumG,sumG2,meanG_molecules_per_100eV,run_name,region_id,region_key,region_label,species_label,case,source_geometry,condition_label,dose_rate_Gy_s,pulse_s,nominal_total_dose_Gy,scaled_region_energy_eV,scaled_region_energy_J,scaled_energy_fraction_equivalent_Gy,scaled_region_dose_Gy_mass_normalized,relative_fraction_of_scored_edep,scaled_species_molecules
Species0.root,999.9990000000004,1,°OH^0,5105,100,135.9169417399379,192.2153135942181,1.359169417399379,caseC_diffuse_0p38Gy_s_20s_full,2,nervous,Nervous system,•OH,Diffuse dose-response,Diffuse field,Diffuse field: 0.38 Gy/s × 20 s,0.38,20.0,7.6,3338838588.184932,5.349409170687447e-10,0.067188966665857,33.12737906048704,0.0088406535086654,45380472.98693879
Species0.root,999.9990000000004,6,H2O2^0,3357,100,90.81560981708608,84.14871988047054,0.9081560981708608,caseC_diffuse_0p38Gy_s_20s_full,2,nervous,Nervous system,H₂O₂,Diffuse dose-response,Diffuse field,Diffuse field: 0.38 Gy/s × 20 s,0.38,20.0,7.6,3338838588.184932,5.349409170687447e-10,0.067188966665857,33.12737906048704,0.0088406535086654,30321866.246683337
Species0.root,999.9990000000004,1,°OH^0,7518,100,143.11396982207356,216.0741928932012,1.4311396982207356,caseC_diffuse_0p38Gy_s_20s_full,3,bodywall,Body wall muscle,•OH,Diffuse dose-response,Diffuse field,Diffuse field: 0.38 Gy/s × 20 s,0.38,20.0,7.6,7796662514.213097,1.2491630503455915e-09,0.156895783948986,7.453996230796629,0.0206441820985508,111581132.37719852
Species0.root,999.9990000000004,6,H2O2^0,4201,100,89.93939197154319,84.16679712936985,0.8993939197154319,caseC_diffuse_0p38Gy_s_20s_full,3,bodywall,Body wall muscle,H₂O₂,Diffuse dose-response,Diffuse field,Diffuse field: 0.38 Gy/s × 20 s,0.38,20.0,7.6,7796662514.213097,1.2491630503455915e-09,0.156895783948986,7.453996230796629,0.0206441820985508,70122708.59356491
Species0.root,999.9990000000004,1,°OH^0,6803,100,146.09416240995927,219.8217918831352,1.4609416240995927,caseC_diffuse_0p38Gy_s_20s_full,4,digestive,Digestive system,•OH,Diffuse dose-response,Diffuse field,Diffuse field: 0.38 Gy/s × 20 s,0.38,20.0,7.6,4917256573.111294,7.878313584821825e-10,0.098952189287427,2.1580991472099846,0.0130200249062404,71838248.04035611
Species0.root,999.9990000000004,6,H2O2^0,4056,100,88.73381026277104,80.02941096871285,0.8873381026277104,caseC_diffuse_0p38Gy_s_20s_full,4,digestive,Digestive system,H₂O₂,Diffuse dose-response,Diffuse field,Diffuse field: 0.38 Gy/s × 20 s,0.38,20.0,7.6,4917256573.111294,7.878313584821825e-10,0.098952189287427,2.1580991472099846,0.0130200249062404,43632691.17718212
Species0.root,999.9990000000004,1,°OH^0,13360,100,157.90908435377565,261.2832655220892,1.5790908435377562,caseC_diffuse_0p38Gy_s_20s_full,5,reproductive,Reproductive system,•OH,Diffuse dose-response,Diffuse field,Diffuse field: 0.38 Gy/s × 20 s,0.38,20.0,7.6,9587231968.772375,1.5360439045104914e-09,0.1929282270329407,8.245533284540558,0.0253852930306501,151391102.16760913
Species0.root,999.9990000000004,6,H2O2^0,6462,100,86.93115835443167,77.35181181180435,0.8693115835443167,caseC_diffuse_0p38Gy_s_20s_full,5,reproductive,Reproductive system,H₂O₂,Diffuse dose-response,Diffuse field,Diffuse field: 0.38 Gy/s × 20 s,0.38,20.0,7.6,9587231968.772375,1.5360439045104914e-09,0.1929282270329407,8.245533284540558,0.0253852930306501,83342918.0458021
Species0.root,999.9990000000004,1,°OH^0,3191,100,123.75065069922616,160.75866391242764,1.2375065069922615,caseC_diffuse_0p38Gy_s_20s_full,6,excretory,Excretory system,•OH,Diffuse dose-response,Diffuse field,Diffuse field: 0.38 Gy/s × 20 s,0.38,20.0,7.6,673930117.3349148,1.0797550869428787e-10,0.0135618021035716,1192.7898136316855,0.0017844476452068,8339929.054600153
Species0.root,999.9990000000004,6,H2O2^0,2370,100,91.91132627927482,86.10271879226559,0.9191132627927482,caseC_diffuse_0p38Gy_s_20s_full,6,excretory,Excretory system,H₂O₂,Diffuse dose-response,Diffuse field,Diffuse field: 0.38 Gy/s × 20 s,0.38,20.0,7.6,673930117.3349148,1.0797550869428787e-10,0.0135618021035716,1192.7898136316855,0.0017844476452068,6194181.090379931
Species0.root,999.9990000000004,1,°OH^0,5115,100,136.440929779047,193.8084348294057,1.36440929779047,caseC_diffuse_0p56Gy_s_20s_full,2,nervous,Nervous system,•OH,Diffuse dose-response,Diffuse field,Diffuse field: 0.56 Gy/s × 20 s,0.56,20.0,11.2,4920393708.904112,7.883339830486766e-10,0.0990153192970524,48.81929545755986,0.0088406535086654,67134309.25218506
Species0.root,999.9990000000004,6,H2O2^0,3338,100,90.31214223162088,83.42534916377525,0.9031214223162088,caseC_diffuse_0p56Gy_s_20s_full,2,nervous,Nervous system,H₂O₂,Diffuse dose-response,Diffuse field,Diffuse field: 0.56 Gy/s × 20 s,0.56,20.0,11.2,4920393708.904112,7.883339830486766e-10,0.0990153192970524,48.81929545755986,0.0088406535086654,44437129.64741208
Species0.root,999.9990000000004,1,°OH^0,7494,100,141.65357076303283,211.48515565226376,1.4165357076303282,caseC_diffuse_0p56Gy_s_20s_full,3,bodywall,Body wall muscle,•OH,Diffuse dose-response,Diffuse field,Diffuse field: 0.56 Gy/s × 20 s,0.56,20.0,11.2,11489818441.99825,1.8408718636671879e-09,0.2312148395037689,10.984836550647666,0.0206441820985508,162757380.97279987
Species0.root,999.9990000000004,6,H2O2^0,4175,100,90.03911083904171,84.1479198018337,0.9003911083904171,caseC_diffuse_0p56Gy_s_20s_full,3,bodywall,Body wall muscle,H₂O₂,Diffuse dose-response,Diffuse field,Diffuse field: 0.56 Gy/s × 20 s,0.56,20.0,11.2,11489818441.99825,1.8408718636671879e-09,0.2312148395037689,10.984836550647666,0.0206441820985508,103453303.6219546
Species0.root,999.9990000000004,1,°OH^0,6800,100,146.48554886369465,220.8958535720324,1.4648554886369465,caseC_diffuse_0p56Gy_s_20s_full,4,digestive,Digestive system,•OH,Diffuse dose-response,Diffuse field,Diffuse field: 0.56 Gy/s × 20 s,0.56,20.0,11.2,7246483370.900799,1.1610146335526812e-09,0.1458242789498913,3.1803566379936377,0.0130200249062403,106150509.39180398
Species0.root,999.9990000000004,6,H2O2^0,4061,100,88.47045864540101,79.48888057246211,0.8847045864540101,caseC_diffuse_0p56Gy_s_20s_full,4,digestive,Digestive system,H₂O₂,Diffuse dose-response,Diffuse field,Diffuse field: 0.56 Gy/s × 20 s,0.56,20.0,11.2,7246483370.900799,1.1610146335526812e-09,0.1458242789498913,3.1803566379936377,0.0130200249062403,64109970.73898652
