name,input_path,output_path,status,used_meshfix,error,vertices_before,faces_before,watertight_before,winding_before,euler_before,volume_before,components_before,degenerate_removed,tiny_components_removed,vertices_after,faces_after,watertight_after,winding_after,euler_after,volume_after,components_after
e3VR,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/e3VR.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/e3VR.stl,ok,False,,8208,2736,False,True,2736,3.811104846387805e-06,2736,0,0,1370,2736,True,True,2,3.811104846387805e-06,
e2DR,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/e2DR.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/e2DR.stl,ok,False,,13104,4368,False,True,4368,3.6130936860628803e-06,4368,0,0,2186,4368,True,True,2,3.6130936860628803e-06,
e2DL,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/e2DL.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/e2DL.stl,ok,False,,12336,4112,False,True,4112,3.840926127852518e-06,4112,0,0,2058,4112,True,True,2,3.840926127852518e-06,
e3D,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/e3D.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/e3D.stl,ok,False,,9120,3040,False,True,3040,3.5919168232148342e-06,3040,0,0,1522,3040,True,True,2,3.5919168232148342e-06,
e1D,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/e1D.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/e1D.stl,ok,False,,10176,3392,False,True,3392,2.8260223467515762e-06,3392,0,0,1698,3392,True,True,2,2.8260223467515762e-06,
e2V,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/e2V.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/e2V.stl,ok,False,,13584,4528,False,True,4528,5.617007957852039e-06,4528,0,0,2266,4528,True,True,2,5.617007957852039e-06,
pm1,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm1.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm1.stl,ok,False,,30144,10048,False,True,10048,5.9484636019293305e-05,10048,0,0,5018,10048,True,True,-6,5.9484636019293305e-05,
pm2VR,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm2VR.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm2VR.stl,ok,False,,14400,4800,False,True,4800,2.7620279125964224e-05,4800,0,0,2402,4800,True,True,2,2.7620279125964224e-05,
pm2VL,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm2VL.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm2VL.stl,ok,False,,13824,4608,False,True,4608,2.5599339735162972e-05,4608,0,0,2306,4608,True,True,2,2.5599339735162972e-05,
pm2D,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm2D.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm2D.stl,ok,False,,13632,4544,False,True,4544,5.387524877100437e-05,4544,0,0,2274,4544,True,True,2,5.387524877100437e-05,
mc3DR,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mc3DR.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mc3DR.stl,ok,False,,20976,6992,False,True,6992,0.0004254620452275524,6992,0,0,3498,6992,True,True,2,0.0004254620452275524,
mc2V,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mc2V.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mc2V.stl,ok,False,,19104,6368,False,True,6368,0.00019405793020290808,6368,0,0,3186,6368,True,True,2,0.00019405793020290808,
mc2DR,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mc2DR.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mc2DR.stl,ok,False,,19008,6336,False,True,6336,0.0001545028988865155,6336,0,0,3170,6336,True,True,2,0.0001545028988865155,
mc1V,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mc1V.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mc1V.stl,ok,False,,27072,9024,False,True,9024,0.00028028506971956716,9024,0,0,4514,9024,True,True,2,0.00028028506971956716,
mc1DR,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mc1DR.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mc1DR.stl,ok,False,,27936,9312,False,True,9312,0.0003057805311715146,9312,0,0,4658,9312,True,True,2,0.0003057805311715146,
pm8,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm8.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm8.stl,ok,True,,2688,896,False,True,896,-0.0001369700386875992,896,0,0,448,896,True,True,0,0.0001369700386875992,
mc3V,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mc3V.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mc3V.stl,ok,False,,18528,6176,False,True,6176,0.00042372871636743993,6176,0,0,3090,6176,True,True,2,0.00042372871636743993,
pm7VL,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm7VL.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm7VL.stl,ok,False,,13872,4624,False,True,4624,0.001116618592065482,4624,0,0,2314,4624,True,True,2,0.001116618592065482,
pm7D,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm7D.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm7D.stl,ok,False,,15552,5184,False,True,5184,0.0009742085792695765,5184,0,0,2594,5184,True,True,2,0.0009742085792695765,
pm6VL,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm6VL.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm6VL.stl,ok,False,,16608,5536,False,True,5536,0.000932866682988171,5536,0,0,2770,5536,True,True,2,0.000932866682988171,
pm6D,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm6D.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm6D.stl,ok,False,,3384,1128,False,True,1128,0.0008342921982089834,1128,0,0,566,1128,True,True,2,0.0008342921982089834,
mc3DL,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mc3DL.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mc3DL.stl,ok,False,,5244,1748,False,True,1748,0.0004229461159803794,1748,0,0,876,1748,True,True,2,0.0004229461159803794,
pm6VR,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm6VR.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm6VR.stl,ok,False,,15072,5024,False,True,5024,0.0009510284293413625,5024,0,0,2514,5024,True,True,2,0.0009510284293413625,
pm5VL,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm5VL.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm5VL.stl,ok,False,,15024,5008,False,True,5008,0.000906309365758144,5008,0,0,2506,5008,True,True,2,0.000906309365758144,
pm5D,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm5D.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm5D.stl,ok,False,,16128,5376,False,True,5376,0.000756552689957282,5376,0,0,2690,5376,True,True,2,0.000756552689957282,
mc2DL,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/mc2DL.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mc2DL.stl,ok,False,,19008,6336,False,True,6336,0.00015447692675966629,6336,0,0,3170,6336,True,True,2,0.00015447692675966629,
pm5VR,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm5VR.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm5VR.stl,ok,False,,13104,4368,False,True,4368,0.0009159936680006084,4368,0,0,2186,4368,True,True,2,0.0009159936680006084,
pm4VL,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm4VL.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm4VL.stl,ok,False,,10128,3376,False,True,3376,0.0007769742577462975,3376,0,0,1690,3376,True,True,2,0.0007769742577462975,
pm4D,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm4D.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm4D.stl,ok,True,,10056,3352,False,True,3352,0.0006332871029952847,3352,0,0,1611,3218,True,True,2,0.0006342668326452556,
e3VL,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/e3VL.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/e3VL.stl,ok,False,,8208,2736,False,True,2736,3.8111027960381963e-06,2736,0,0,1370,2736,True,True,2,3.8111027960381963e-06,
e1VL,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/e1VL.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/e1VL.stl,ok,False,,7872,2624,False,True,2624,2.486748502214478e-06,2624,0,0,1314,2624,True,True,2,2.486748502214478e-06,
Phar_Gland_g1_L,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/Phar_Gland_g1_L.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Phar_Gland_g1_L.stl,ok,False,,30528,10176,False,True,10176,8.607786014110275e-05,10176,0,0,5090,10176,True,True,2,8.607786014110275e-05,
Phar_Gland_g2_VL,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/Phar_Gland_g2_VL.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Phar_Gland_g2_VL.stl,ok,True,,5952,1984,False,True,1984,-6.0654491511717285e-05,1984,0,0,994,1984,True,True,2,6.0654491511717285e-05,
pm4VR,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm4VR.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm4VR.stl,ok,False,,10176,3392,False,True,3392,0.0007711985177288619,3392,0,0,1698,3392,True,True,2,0.0007711985177288619,
pm3VL,/home/asunkari/ros-worm/openworm_geometry/object_stls/stl/pm3VL.stl,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm3VL.stl,ok,False,,19728,6576,False,True,6576,0.0007614812983122062,6576,0,0,3290,6576,True,True,2,0.0007614812983122062,
