file,faces,verts,watertight,winding,euler,components,volume,area,span_x,span_y,span_z,min_face_area,p01_face_area,min_edge,p01_edge,error
OBJ/Adult.obj,59200.0,108626.0,False,True,24763.0,24857.0,0.004555626859923337,0.3854866705713929,0.078463,0.9999990000000001,0.180649,5.290302448820874e-10,1.149692060735108e-06,2.000000000002e-06,0.0015327573193431479,
OBJ/Embryo.obj,960.0,1974.0,False,True,502.0,512.0,3.4714162968744e-05,0.005333920892379145,0.035,0.055,0.035,1.7504218438619305e-06,1.7550155382426114e-06,0.0006739176507556394,0.0007098633671348314,
OBJ/L1.obj,24488.0,45240.0,False,True,10358.0,10394.0,5.192354227194083e-05,0.012809351491326889,0.019616,0.25,0.045162,2.184630918484522e-09,1.9173380069172245e-07,8.062257748296285e-06,0.0005932531331380573,
OBJ/L2.obj,24488.0,45239.0,False,True,10357.0,10394.0,0.00015504296351847248,0.026561469395395776,0.028247,0.36,0.06503400000000001,3.837360681509098e-09,3.976818889650961e-07,1.0999999999997123e-05,0.0008539155047496632,
OBJ/L3.obj,24488.0,45244.0,False,True,10361.0,10395.0,0.0003909607108343105,0.04920843186024973,0.038446999999999995,0.48999899999999996,0.088518,8.078230530243105e-09,7.359813833186923e-07,1.6031219541874924e-05,0.0011629094085602244,
OBJ/L4.obj,24488.0,45241.0,False,True,10360.0,10393.0,0.0007919892924288734,0.07878262150538243,0.048646999999999996,0.619999,0.11200299999999999,1.2615424338896766e-08,1.1790495322108821e-06,2.0024984394501406e-05,0.001470610619587428,
PLY/Adult.ply,59200.0,29608.0,True,True,8.0,4.0,0.00455562684984469,0.38548666955413124,0.07846299931406975,0.9999989867210388,0.18064899742603302,5.290273824444523e-10,1.1496945513064017e-06,2.000480890274048e-06,0.001546795129001437,
PLY/Embryo.ply,,,,,,,,,,,,,,,,ValueError('PLY is unexpected length!')
PLY/L1.ply,24488.0,12246.0,True,True,2.0,1.0,5.192354223906647e-05,0.01280935148748667,0.01961600035429001,0.25,0.04516199976205826,2.185663064246096e-09,1.9173341199360265e-07,8.06119509193156e-06,0.0006047796814102253,
PLY/L2.ply,24488.0,12246.0,True,True,2.0,1.0,0.00015504296333361913,0.026561469392769668,0.028246999718248844,0.35999999940395355,0.06503399834036827,3.837661801114347e-09,3.9768410885694813e-07,1.1000782251358032e-05,0.000871096803168444,
PLY/L3.ply,24488.0,12246.0,True,True,2.0,1.0,0.00039096071019098706,0.04920843182163559,0.038447000086307526,0.489998996257782,0.08851800113916397,8.077556621546176e-09,7.359808706302478e-07,1.603124002898581e-05,0.0011857183063187947,
PLY/L4.ply,24488.0,12246.0,True,True,2.0,1.0,0.000791989292742054,0.07878262153512251,0.04864699952304363,0.6199989914894104,0.11200299859046936,1.2624125002249628e-08,1.1790507564094485e-06,2.00267341302837e-05,0.0015003236912690546,
STL/Adult.stl,59200.0,29608.0,True,True,8.0,4.0,0.00455562684984469,0.38548666955413124,0.07846299931406975,0.9999989867210388,0.18064899742603302,5.290273824444523e-10,1.1496945513064017e-06,2.000480890274048e-06,0.001546795129001437,
STL/Embryo.stl,960.0,482.0,True,True,2.0,1.0,3.471416253136967e-05,0.005333920839637459,0.03500000014901161,0.054999999701976776,0.03500000014901161,1.7504217771588724e-06,1.7550158852455316e-06,0.000673917667648486,0.000709863509481397,
STL/L1.stl,24488.0,12246.0,True,True,2.0,1.0,5.192354223906647e-05,0.01280935148748667,0.01961600035429001,0.25,0.04516199976205826,2.185663064246096e-09,1.9173341199360265e-07,8.06119509193156e-06,0.0006047796814102253,
STL/L2.stl,24488.0,12246.0,True,True,2.0,1.0,0.00015504296333361913,0.026561469392769668,0.028246999718248844,0.35999999940395355,0.06503399834036827,3.837661801114347e-09,3.9768410885694813e-07,1.1000782251358032e-05,0.000871096803168444,
STL/L3.stl,24488.0,12246.0,True,True,2.0,1.0,0.00039096071019098706,0.04920843182163559,0.038447000086307526,0.489998996257782,0.08851800113916397,8.077556621546176e-09,7.359808706302478e-07,1.603124002898581e-05,0.0011857183063187947,
STL/L4.stl,24488.0,12246.0,True,True,2.0,1.0,0.0007919892927420539,0.0787826215351225,0.04864699952304363,0.6199989914894104,0.11200299859046936,1.2624125002249628e-08,1.1790507564094485e-06,2.00267341302837e-05,0.0015003236912690546,
split_adult_stls/Reproductive_system.stl,24488.0,12246.0,True,True,2.0,1.0,0.003323105802778971,0.20494957756441629,0.07846299931406975,0.9999989867210388,0.18064899742603302,3.2971348266653016e-08,3.066763253588915e-06,3.206248005797162e-05,0.0024196266944140027,
split_adult_stls/Reproductive_system_1.stl,10236.0,5122.0,True,True,4.0,2.0,0.0007292241067107691,0.09750392449936271,0.054694999009370804,0.9574950039386749,0.15418000519275665,5.290273824444523e-10,1.4117225542926088e-06,2.308645444527462e-05,0.002333937306657454,
split_adult_stls/Reproductive_system_2.stl,24476.0,12240.0,True,True,2.0,1.0,0.0005032969411125579,0.08303316752094758,0.06241200119256973,0.746150016784668,0.12668400257825851,1.885632757923607e-09,5.774580779341852e-07,2.000480890274048e-06,0.0014199725003334667,
