                                      file   faces    verts watertight winding   euler  components   volume     area   span_x   span_y   span_z  min_face_area  p01_face_area  min_edge  p01_edge                                   error
                             OBJ/Adult.obj 59200.0 108626.0      False    True 24763.0     24857.0 0.004556 0.385487 0.078463 0.999999 0.180649   5.290302e-10   1.149692e-06  0.000002  0.001533                                     NaN
                            OBJ/Embryo.obj   960.0   1974.0      False    True   502.0       512.0 0.000035 0.005334 0.035000 0.055000 0.035000   1.750422e-06   1.755016e-06  0.000674  0.000710                                     NaN
                                OBJ/L1.obj 24488.0  45240.0      False    True 10358.0     10394.0 0.000052 0.012809 0.019616 0.250000 0.045162   2.184631e-09   1.917338e-07  0.000008  0.000593                                     NaN
                                OBJ/L2.obj 24488.0  45239.0      False    True 10357.0     10394.0 0.000155 0.026561 0.028247 0.360000 0.065034   3.837361e-09   3.976819e-07  0.000011  0.000854                                     NaN
                                OBJ/L3.obj 24488.0  45244.0      False    True 10361.0     10395.0 0.000391 0.049208 0.038447 0.489999 0.088518   8.078231e-09   7.359814e-07  0.000016  0.001163                                     NaN
                                OBJ/L4.obj 24488.0  45241.0      False    True 10360.0     10393.0 0.000792 0.078783 0.048647 0.619999 0.112003   1.261542e-08   1.179050e-06  0.000020  0.001471                                     NaN
                             PLY/Adult.ply 59200.0  29608.0       True    True     8.0         4.0 0.004556 0.385487 0.078463 0.999999 0.180649   5.290274e-10   1.149695e-06  0.000002  0.001547                                     NaN
                            PLY/Embryo.ply     NaN      NaN        NaN     NaN     NaN         NaN      NaN      NaN      NaN      NaN      NaN            NaN            NaN       NaN       NaN ValueError('PLY is unexpected length!')
                                PLY/L1.ply 24488.0  12246.0       True    True     2.0         1.0 0.000052 0.012809 0.019616 0.250000 0.045162   2.185663e-09   1.917334e-07  0.000008  0.000605                                     NaN
                                PLY/L2.ply 24488.0  12246.0       True    True     2.0         1.0 0.000155 0.026561 0.028247 0.360000 0.065034   3.837662e-09   3.976841e-07  0.000011  0.000871                                     NaN
                                PLY/L3.ply 24488.0  12246.0       True    True     2.0         1.0 0.000391 0.049208 0.038447 0.489999 0.088518   8.077557e-09   7.359809e-07  0.000016  0.001186                                     NaN
                                PLY/L4.ply 24488.0  12246.0       True    True     2.0         1.0 0.000792 0.078783 0.048647 0.619999 0.112003   1.262413e-08   1.179051e-06  0.000020  0.001500                                     NaN
                             STL/Adult.stl 59200.0  29608.0       True    True     8.0         4.0 0.004556 0.385487 0.078463 0.999999 0.180649   5.290274e-10   1.149695e-06  0.000002  0.001547                                     NaN
                            STL/Embryo.stl   960.0    482.0       True    True     2.0         1.0 0.000035 0.005334 0.035000 0.055000 0.035000   1.750422e-06   1.755016e-06  0.000674  0.000710                                     NaN
                                STL/L1.stl 24488.0  12246.0       True    True     2.0         1.0 0.000052 0.012809 0.019616 0.250000 0.045162   2.185663e-09   1.917334e-07  0.000008  0.000605                                     NaN
                                STL/L2.stl 24488.0  12246.0       True    True     2.0         1.0 0.000155 0.026561 0.028247 0.360000 0.065034   3.837662e-09   3.976841e-07  0.000011  0.000871                                     NaN
                                STL/L3.stl 24488.0  12246.0       True    True     2.0         1.0 0.000391 0.049208 0.038447 0.489999 0.088518   8.077557e-09   7.359809e-07  0.000016  0.001186                                     NaN
                                STL/L4.stl 24488.0  12246.0       True    True     2.0         1.0 0.000792 0.078783 0.048647 0.619999 0.112003   1.262413e-08   1.179051e-06  0.000020  0.001500                                     NaN
  split_adult_stls/Reproductive_system.stl 24488.0  12246.0       True    True     2.0         1.0 0.003323 0.204950 0.078463 0.999999 0.180649   3.297135e-08   3.066763e-06  0.000032  0.002420                                     NaN
split_adult_stls/Reproductive_system_1.stl 10236.0   5122.0       True    True     4.0         2.0 0.000729 0.097504 0.054695 0.957495 0.154180   5.290274e-10   1.411723e-06  0.000023  0.002334                                     NaN
split_adult_stls/Reproductive_system_2.stl 24476.0  12240.0       True    True     2.0         1.0 0.000503 0.083033 0.062412 0.746150 0.126684   1.885633e-09   5.774581e-07  0.000002  0.001420                                     NaN

wrote wu_mesh_diagnostics.csv
