# modelled photon spectrum; not an instrument measurement
# energy_keV,probability
1.000000,4.67944549548e-41
1.250000,3.14364215274e-23
1.500000,6.83863118816e-15
1.750000,2.70793696624e-11
2.000000,5.04536235329e-09
2.250000,3.82896392829e-07
2.500000,6.6263711256e-06
2.750000,4.67033549254e-05
3.000000,0.000185667934388
3.250000,0.000523335145468
3.500000,0.00112073132838
3.750000,0.00198047035358
4.000000,0.00304966769591
4.250000,0.00429969988537
4.500000,0.00559982959199
4.750000,0.00687072149511
5.000000,0.00805495753304
5.250000,0.00913040238346
5.500000,0.0100649904129
5.750000,0.0108540165422
6.000000,0.0115019115333
6.250000,0.0120299430168
6.500000,0.0124374268904
6.750000,0.0127383597205
7.000000,0.0129466950176
7.250000,0.013075628604
7.500000,0.0131372215471
7.750000,0.013142243061
8.000000,0.0131001498459
8.250000,0.0129835039134
8.500000,0.111651560709
8.750000,0.0126811182644
9.000000,0.0125043255953
9.250000,0.0123152871754
9.500000,0.0121169052478
9.750000,0.071527133772
10.000000,0.0314820220315
10.250000,0.0115089528815
10.500000,0.0113106951674
10.750000,0.0111084678308
11.000000,0.010903772028
11.250000,0.0200315742203
11.500000,0.0104917385637
11.750000,0.0102862755406
12.000000,0.0100821558691
12.250000,0.00987994221493
12.500000,0.00968008827911
12.750000,0.00948295618451
13.000000,0.00928883116426
13.250000,0.00909793396783
13.500000,0.00891043133765
13.750000,0.00872644485591
14.000000,0.00854605841524
14.250000,0.00836932452755
14.500000,0.00819626965193
14.750000,0.00802689869394
15.000000,0.00786119880508
15.250000,0.00769209894507
15.500000,0.00752755538438
15.750000,0.00736740666615
16.000000,0.00721149729315
16.250000,0.00705967762677
16.500000,0.00691180376008
16.750000,0.00676773737164
17.000000,0.00662734556533
17.250000,0.00649050070039
17.500000,0.00635708021515
17.750000,0.00622696644736
18.000000,0.00610004645318
18.250000,0.00597621182667
18.500000,0.00585535852128
18.750000,0.00573738667418
19.000000,0.00562220043456
19.250000,0.00550970779633
19.500000,0.00539982043566
19.750000,0.00529245355392
20.000000,0.00518752572594
20.250000,0.00508307341186
20.500000,0.00498107419288
20.750000,0.00488144286661
21.000000,0.00478409812248
21.250000,0.00468896232249
21.500000,0.00459596129662
21.750000,0.00450502415171
22.000000,0.00441608309283
22.250000,0.0043290732562
22.500000,0.00424393255273
22.750000,0.00416060152156
23.000000,0.00407902319265
23.250000,0.00399914295795
23.500000,0.00392090845048
23.750000,0.0038442694307
24.000000,0.00376917767977
24.250000,0.00369558689913
24.500000,0.00362345261597
24.750000,0.0035527320943
25.000000,0.00348338425111
25.250000,0.00341536957729
25.500000,0.00334865006317
25.750000,0.00328318912809
26.000000,0.003218951554
26.250000,0.00315590342268
26.500000,0.00309401205641
26.750000,0.00303324596187
27.000000,0.00297357477698
27.250000,0.00291496922069
27.500000,0.00285740104532
27.750000,0.00280084299144
28.000000,0.00274526874508
28.250000,0.00269065289715
28.500000,0.00263697090491
28.750000,0.00258419905544
29.000000,0.00253231443085
29.250000,0.00248129487533
29.500000,0.00243111896372
29.750000,0.00238176597173
30.000000,0.0023332158475
30.250000,0.00228527003031
30.500000,0.00223810020978
30.750000,0.00219168766304
31.000000,0.00214601426538
31.250000,0.0021010624665
31.500000,0.00205681526795
31.750000,0.00201325620158
32.000000,0.00197036930897
32.250000,0.00192813912193
32.500000,0.00188655064372
32.750000,0.00184558933124
33.000000,0.00180524107804
33.250000,0.00176549219797
33.500000,0.00172632940967
33.750000,0.00168773982173
34.000000,0.0016497109184
34.250000,0.00161223054606
34.500000,0.00157528690021
34.750000,0.00153886851295
35.000000,0.00150296424112
35.250000,0.00146756325488
35.500000,0.00143265502671
35.750000,0.00139822932099
36.000000,0.00136427618392
36.250000,0.00133078593387
36.500000,0.00129774915215
36.750000,0.00126515667413
37.000000,0.00123299958072
37.250000,0.00120126919024
37.500000,0.00116995705049
37.750000,0.00113905493128
38.000000,0.00110855481715
38.250000,0.00107844890041
38.500000,0.00104872957448
38.750000,0.00101938942739
39.000000,0.000990421235651
39.250000,0.000961817958265
39.500000,0.000933572731006
39.750000,0.000905678860899
40.000000,0.000878129820915
40.250000,0.00085089697186
40.500000,0.000823998060783
40.750000,0.000797426971247
41.000000,0.000771177735417
41.250000,0.000745244529568
41.500000,0.000719621669761
41.750000,0.000694303607674
42.000000,0.000669284926572
42.250000,0.000644560337435
42.500000,0.000620124675208
42.750000,0.000595972895192
43.000000,0.000572100069554
43.250000,0.000548501383962
43.500000,0.000525172134336
43.750000,0.000502107723702
44.000000,0.000479303659168
44.250000,0.000456755548985
44.500000,0.00043445909972
44.750000,0.000412410113519
45.000000,0.000390604485457
45.250000,0.000369038200982
45.500000,0.00034770733344
45.750000,0.000326608041681
46.000000,0.000305736567743
46.250000,0.000285089234609
46.500000,0.000264662444041
46.750000,0.00024445267448
47.000000,0.000224456479011
47.250000,0.000204670483395
47.500000,0.000185091384167
47.750000,0.000165715946781
48.000000,0.000146541003829
48.250000,0.000127563453304
48.500000,0.000108780256917
48.750000,9.01884384724e-05
49.000000,7.17850822883e-05
49.250000,5.35673316636e-05
49.500000,3.55323873949e-05
49.750000,1.76775063358e-05
