# modelled photon spectrum; not an instrument measurement
# energy_keV,probability
1.000000,1.65383113744e-07
1.250000,0.000116570087832
1.500000,0.00194305362828
1.750000,0.007801157869
2.000000,0.0160371951973
2.250000,0.0238217183181
2.500000,0.0295070895111
2.750000,0.0329798271289
3.000000,0.109871389491
3.250000,0.082429087814
3.500000,0.0344823116361
3.750000,0.0335607505077
4.000000,0.0323724485588
4.250000,0.0311761895306
4.500000,0.0298594607364
4.750000,0.0284958859382
5.000000,0.0271319916537
5.250000,0.0257612342342
5.500000,0.0244497833079
5.750000,0.0232022762805
6.000000,0.0220199598332
6.250000,0.0208937068655
6.500000,0.0198324464174
6.750000,0.018832511809
7.000000,0.0178900947498
7.250000,0.0170014082359
7.500000,0.0161627854641
7.750000,0.0153707368412
8.000000,0.0146219796906
8.250000,0.013909985077
8.500000,0.0132363015145
8.750000,0.0125980907557
9.000000,0.0119927651245
9.250000,0.0114179643634
9.500000,0.0108715341648
9.750000,0.0103515064816
10.000000,0.0098560816081
10.250000,0.00938150693957
10.500000,0.0089288288449
10.750000,0.00849658236572
11.000000,0.00808342895798
11.250000,0.00768814329841
11.500000,0.00730960168958
11.750000,0.00694677184486
12.000000,0.00659870386793
12.250000,0.00626452226897
12.500000,0.00594341888255
12.750000,0.00563464657196
13.000000,0.00533751362092
13.250000,0.00505137872742
13.500000,0.00477564652636
13.750000,0.00450976357744
14.000000,0.00425321476329
14.250000,0.00400552005013
14.500000,0.00376623156939
14.750000,0.00353493098402
15.000000,0.00331122710784
15.250000,0.00309448576061
15.500000,0.00288468376567
15.750000,0.00268149320763
16.000000,0.00248460650695
16.250000,0.00229373486788
16.500000,0.0021086068663
16.750000,0.00192896716317
17.000000,0.00175457533056
17.250000,0.00158520477902
17.500000,0.00142064177623
17.750000,0.00126068454796
18.000000,0.00110514245345
18.250000,0.000953835228039
18.500000,0.00080659228686
18.750000,0.000663252083774
19.000000,0.000523661520631
19.250000,0.000387675402248
19.500000,0.000255155933027
19.750000,0.000125972251576
