# modelled photon spectrum; not an instrument measurement
# energy_keV,probability
1.000000,1.8223174436e-15
1.250000,6.48670817778e-09
1.500000,5.88827932275e-06
1.750000,0.000136174564722
2.000000,0.000847703113924
2.250000,0.00313309209693
2.500000,0.00711160524151
2.750000,0.0120914824127
3.000000,0.0348111888489
3.250000,0.0357423115224
3.500000,0.0254642339103
3.750000,0.0282535695983
4.000000,0.0301824722793
4.250000,0.0315973882872
4.500000,0.0323459089432
4.750000,0.0325738864382
5.000000,0.032407381643
5.250000,0.0319135387309
5.500000,0.0312228623329
5.750000,0.0303947551655
6.000000,0.0294745738132
6.250000,0.0284902341733
6.500000,0.0274757246673
6.750000,0.0264495343742
7.000000,0.0254252210302
7.250000,0.0244125980217
7.500000,0.0234186459608
7.750000,0.0224482090932
8.000000,0.0215045256811
8.250000,0.0205730154935
8.500000,0.0196757813812
8.750000,0.0188123554805
9.000000,0.0179819829867
9.250000,0.0171837124536
9.500000,0.0164164633819
9.750000,0.0156790766299
10.000000,0.0149703518177
10.250000,0.0142909299373
10.500000,0.0136371905527
10.750000,0.013008074267
11.000000,0.012402525509
11.250000,0.0118195052018
11.500000,0.0112579997435
11.750000,0.0107170271908
12.000000,0.010195641326
12.250000,0.00969293413062
12.500000,0.00920803706507
12.750000,0.00874012146105
13.000000,0.00828839826224
13.250000,0.00785211729302
13.500000,0.00743056619345
13.750000,0.00702306912525
14.000000,0.00662898532897
14.250000,0.00624770759264
14.500000,0.00587866067754
14.750000,0.00552129973474
15.000000,0.00517510873746
15.250000,0.00483827734383
15.500000,0.00451194629451
15.750000,0.00419563850301
16.000000,0.00388890494155
16.250000,0.00359132264138
16.500000,0.00330249285865
16.750000,0.00302203939007
17.000000,0.00274960702492
17.250000,0.00248486012083
17.500000,0.00222748129203
17.750000,0.00197717020036
18.000000,0.00173364243954
18.250000,0.00149662850488
18.500000,0.00126587284083
18.750000,0.00104113295974
19.000000,0.000822178625788
19.250000,0.000608791098657
19.500000,0.000400762431848
19.750000,0.000197894821282
