# modelled photon spectrum; not an instrument measurement
# energy_keV,probability
1.000000,2.38747516012e-20
1.250000,7.34039527082e-12
1.500000,6.01452673166e-08
1.750000,3.1731371682e-06
2.000000,3.58408541274e-05
2.250000,0.00024230140292
2.500000,0.000832433384986
2.750000,0.00190296269405
3.000000,0.00336369887191
3.250000,0.00508095093878
3.500000,0.00681251706127
3.750000,0.00840910234023
4.000000,0.00978778916836
4.250000,0.0109954512859
4.500000,0.0119410031422
4.750000,0.0126463208057
5.000000,0.0131429614912
5.250000,0.0134637466446
5.500000,0.0136421437669
5.750000,0.0137061976906
6.000000,0.0136798509253
6.250000,0.013585581436
6.500000,0.0134364952811
6.750000,0.0132459277431
7.000000,0.013024574975
7.250000,0.0127809586149
7.500000,0.0125218303599
7.750000,0.0122525130864
8.000000,0.0119771826843
8.250000,0.0116848792336
8.500000,0.150650354384
8.750000,0.0111106358398
9.000000,0.0108309745929
9.250000,0.0105573108338
9.500000,0.0102901339782
9.750000,0.0897547703524
10.000000,0.0360242665613
10.250000,0.00953603422965
10.500000,0.0093015369433
10.750000,0.0090730873173
11.000000,0.00885077436039
11.250000,0.0205997191328
11.500000,0.00842459446829
11.750000,0.00822062748902
12.000000,0.00802261867852
12.250000,0.00783044481411
12.500000,0.00764396604048
12.750000,0.00746303075293
13.000000,0.00728747948054
13.250000,0.00711714796423
13.500000,0.00695186958601
13.750000,0.00679147727537
14.000000,0.00663580499439
14.250000,0.00648468888318
14.500000,0.00633796813214
14.750000,0.00619548563418
15.000000,0.00605708846047
15.250000,0.00592021415429
15.500000,0.00578745727008
15.750000,0.00565864034704
16.000000,0.0055335955988
16.250000,0.00541216429581
16.500000,0.00529419619096
16.750000,0.00517954898541
17.000000,0.00506808783175
17.250000,0.0049596848717
17.500000,0.00485421880602
17.750000,0.00475157449413
18.000000,0.00465164258127
18.250000,0.00455431915123
18.500000,0.00445950540274
18.750000,0.00436710734776
19.000000,0.00427703553006
19.250000,0.00418920476261
19.500000,0.00410353388241
19.750000,0.0040199455215
20.000000,0.00393836589289
20.250000,0.00385809099143
20.500000,0.00377974279336
20.750000,0.00370325279536
21.000000,0.00362855570183
21.250000,0.00355558923946
21.500000,0.00348429398434
21.750000,0.00341461320104
22.000000,0.00334649269222
22.250000,0.0032798806584
22.500000,0.00321472756686
22.750000,0.00315098602901
23.000000,0.00308861068568
23.250000,0.00302755809969
23.500000,0.00296778665515
23.750000,0.00290925646302
24.000000,0.00285192927252
24.250000,0.00279576838789
24.500000,0.00274073859021
24.750000,0.00268680606387
25.000000,0.00263393832737
25.250000,0.00258210416824
25.500000,0.00253127358164
25.750000,0.00248141771256
26.000000,0.00243250880128
26.250000,0.00238452013189
26.500000,0.00233742598374
26.750000,0.00229120158549
27.000000,0.00224582307176
27.250000,0.0022012674421
27.500000,0.00215751252216
27.750000,0.00211453692693
28.000000,0.00207232002598
28.250000,0.00203084191044
28.500000,0.00199008336175
28.750000,0.001950025822
29.000000,0.00191065136583
29.250000,0.00187194267364
29.500000,0.0018338830063
29.750000,0.00179645618099
30.000000,0.00175964654832
30.250000,0.00172337772868
30.500000,0.00168770014714
30.750000,0.00165259945034
31.000000,0.00161806174599
31.250000,0.00158407358455
31.500000,0.00155062194169
31.750000,0.00151769420166
32.000000,0.00148527814135
32.250000,0.00145336191511
32.500000,0.00142193404035
32.750000,0.00139098338369
33.000000,0.00136049914775
33.250000,0.00133047085865
33.500000,0.00130088835391
33.750000,0.00127174177097
34.000000,0.00124302153623
34.250000,0.00121471835453
34.500000,0.00118682319907
34.750000,0.00115932730184
35.000000,0.00113222214436
35.250000,0.0011054994489
35.500000,0.00107915117002
35.750000,0.00105316948646
36.000000,0.0010275467934
36.250000,0.00100227569505
36.500000,0.000977348997431
36.750000,0.000952759701634
37.000000,0.000928500997185
37.250000,0.00090456625577
37.500000,0.000880949025176
37.750000,0.000857643023482
38.000000,0.000834642133478
38.250000,0.000811940397293
38.500000,0.000789532011247
38.750000,0.000767411320888
39.000000,0.000745572816228
39.250000,0.000724011127155
39.500000,0.000702721019022
39.750000,0.000681697388403
40.000000,0.000660935259002
40.250000,0.000640422589051
40.500000,0.000620162376072
40.750000,0.000600149983768
41.000000,0.000580380888723
41.250000,0.000560850676988
41.500000,0.00054155504079
41.750000,0.000522489775355
42.000000,0.000503650775849
42.250000,0.000485034034426
42.500000,0.000466635637378
42.750000,0.000448451762388
43.000000,0.000430478675874
43.250000,0.000412712730435
43.500000,0.00039515036237
43.750000,0.000377788089294
44.000000,0.000360622507834
44.250000,0.000343650291394
44.500000,0.000326868188007
44.750000,0.000310273018251
45.000000,0.000293861673236
45.250000,0.000277631112659
45.500000,0.000261578362926
45.750000,0.000245700515326
46.000000,0.000229994724274
46.250000,0.000214458205607
46.500000,0.000199088234935
46.750000,0.000183882146045
47.000000,0.000168837329355
47.250000,0.000153951230421
47.500000,0.000139221348483
47.750000,0.000124645235068
48.000000,0.000110220492624
48.250000,9.59447732079e-05
48.500000,8.18157772054e-05
48.750000,6.78312520949e-05
49.000000,5.39889912474e-05
49.250000,4.02868327638e-05
49.500000,2.67226583468e-05
49.750000,1.32943922065e-05
