# modelled photon spectrum; not an instrument measurement
# energy_keV,probability
1.000000,2.19306980411e-06
1.250000,0.000397188581114
1.500000,0.00362670914395
1.750000,0.0106630395714
2.000000,0.0184272291999
2.250000,0.0246314761381
2.500000,0.0285410213802
2.750000,0.0305210018063
3.000000,0.183007666348
3.250000,0.124698616323
3.500000,0.0298723288487
3.750000,0.0287434275206
4.000000,0.0274828167061
4.250000,0.0262630738937
4.500000,0.0250033504769
4.750000,0.0237492435586
5.000000,0.0225277799001
5.250000,0.0213308754618
5.500000,0.0201990003948
5.750000,0.0191321017795
6.000000,0.0181283124805
6.250000,0.0171793108321
6.500000,0.0162889810338
6.750000,0.0154531785796
7.000000,0.0146679012881
7.250000,0.0139293597772
7.500000,0.0132340118812
7.750000,0.0125785746222
8.000000,0.0119600224942
8.250000,0.011373311091
8.500000,0.0108187704901
8.750000,0.0102939364688
9.000000,0.00979657575826
9.250000,0.00932466195623
9.500000,0.00887635392294
9.750000,0.00844997648223
10.000000,0.00804400322799
10.250000,0.00765566704183
10.500000,0.00728536413325
10.750000,0.0069318774275
11.000000,0.00659409605431
11.250000,0.0062710041083
11.500000,0.00596167079467
11.750000,0.00566524176678
12.000000,0.00538093149231
12.250000,0.00510801650937
12.500000,0.00484582945489
12.750000,0.00459375376475
13.000000,0.0043512189597
13.250000,0.00411769644348
13.500000,0.00389269574977
13.750000,0.00367576118328
14.000000,0.00346646880787
14.250000,0.00326442374082
14.500000,0.00306925771766
14.750000,0.0028806268968
15.000000,0.00269820987681
15.250000,0.0025215312082
15.500000,0.00235051774959
15.750000,0.00218490137976
16.000000,0.00202443063132
16.250000,0.00186886941768
16.500000,0.00171799587493
16.750000,0.00157160130682
17.000000,0.00142948922233
17.250000,0.00129147445636
17.500000,0.00115738236538
17.750000,0.00102704809066
18.000000,0.00090031588252
18.250000,0.000777038479893
18.500000,0.000657076539812
18.750000,0.000540298112362
19.000000,0.000426578156838
19.250000,0.000315798095407
19.500000,0.000207845400934
19.750000,0.000102613215938
