name,category,path,faces,verts,watertight,winding,euler,components,volume,area,min_face_area,p01_face_area,median_face_area,min_edge,p01_edge,median_edge,bounds_min,bounds_max
WholeBodyEnvelope,whole_body_parent,/home/asunkari/ros-worm/openworm_geometry/compartment_pipeline/body_envelope_boolean_cuticle_fill_inset05_g4clean_area1e8/whole_body_envelope.stl,22282,11143,True,True,2,1,1.6225293495311872,12.80556983593961,8.154455161199373e-10,3.46747872714598e-07,0.00019707844056184777,0.0005000886479258981,0.0008730677098546986,0.029826065177179378,"[-0.30742499232292175, -3.6070408821105957, -0.7212560176849365]","[0.30575400590896606, 4.625202178955078, 0.7010849714279175]"
ExcretorySystem,ExcretorySystem,/home/asunkari/ros-worm/openworm_geometry/compartment_pipeline/non_nervous_priority_bake/resolved_stls/ExcretorySystem_resolved.stl,24842,12407,True,True,-14,2,0.0011172443082277195,0.59504025044123,2.0005709040647566e-12,8.118636562935149e-08,1.8800547684982167e-05,1.8782633750319072e-06,0.0004663019038386805,0.007303150366532468,"[-0.2890830934047699, -3.4165894985198975, -0.44183167815208435]","[0.27048662304878235, 4.031525135040283, 0.5737214684486389]"
ReproductiveSystem,ReproductiveSystem,/home/asunkari/ros-worm/openworm_geometry/compartment_pipeline/non_nervous_priority_bake/resolved_stls/ReproductiveSystem_resolved.stl,234046,117019,True,True,-4,56,0.16029046411096867,12.160611914170385,1.2854448901220755e-12,1.3644836238167598e-07,6.932239253798387e-06,1.745726840773222e-07,0.0004637212573608894,0.004475639449925572,"[-0.2575996220111847, -2.265810012817383, -0.5972837805747986]","[0.2452397644519806, 3.540501832962036, 0.390127569437027]"
DigestiveSystem,DigestiveSystem,/home/asunkari/ros-worm/openworm_geometry/compartment_pipeline/non_nervous_priority_bake/resolved_stls/DigestiveSystem_resolved.stl,306542,152953,True,True,-318,33,0.30803277650246974,11.722483558928365,1.846622388210261e-13,4.026193023420461e-09,3.2140877451091577e-06,8.940696716308594e-08,7.228745200085239e-05,0.004072263232575273,"[-0.2300170511007309, -3.495954990386963, -0.580542802810669]","[0.20054520666599274, 4.232712268829346, 0.6234430074691772]"
BodyWallMuscle,BodyWallMuscle,/home/asunkari/ros-worm/openworm_geometry/compartment_pipeline/non_nervous_priority_bake/resolved_stls/BodyWallMuscle_resolved.stl,465710,233039,True,True,184,99,0.16381172464465846,15.872659878968026,1.8915925719776071e-13,4.2620064208527673e-07,3.159891368210325e-05,3.7026954116580667e-07,0.00059310748942377,0.010240040595940383,"[-0.24778400361537933, -3.368569850921631, -0.6692783832550049]","[0.2370162159204483, 3.983365058898926, 0.6665350198745728]"
