
**************************************************************
 Geant4 version Name: geant4-11-03-patch-02 [MT]   (25-April-2025)
                       Copyright : Geant4 Collaboration
                      References : NIM A 506 (2003), 250-303
                                 : IEEE-TNS 53 (2006), 270-278
                                 : NIM A 835 (2016), 186-225
                             WWW : http://geant4.org/
**************************************************************

<<< Geant4 Physics List simulation engine: FTFP_BERT

[OPENWORM-VALIDATOR] manifest = /home/asunkari/ros-worm/openworm_geometry/compartment_pipeline/manifest_wu_core_children.csv
[OPENWORM-VALIDATOR] objects  = 204
[OPENWORM-VALIDATOR][LOADED] 43 name=mc1DL category=digestive_system raw_tri=9312 kept_tri=9312 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 44 name=pm3VR category=digestive_system raw_tri=6320 kept_tri=6320 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 45 name=pm7VR category=digestive_system raw_tri=4768 kept_tri=4768 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 46 name=Sp_bag_P_4R category=reproductive_rectal_system raw_tri=1216 kept_tri=1216 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 47 name=Sp_neck_P_1L category=reproductive_rectal_system raw_tri=2304 kept_tri=2304 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 48 name=Sp_neck_P_1R category=reproductive_rectal_system raw_tri=2304 kept_tri=2304 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 49 name=Sp_neck_P_2L category=reproductive_rectal_system raw_tri=2368 kept_tri=2368 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 50 name=Sp_neck_P_3R category=reproductive_rectal_system raw_tri=2432 kept_tri=2432 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 51 name=Sp_neck_P_4L category=reproductive_rectal_system raw_tri=2432 kept_tri=2432 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 52 name=Sp_neck_P_3L category=reproductive_rectal_system raw_tri=2432 kept_tri=2432 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 53 name=Sp_neck_P_2R category=reproductive_rectal_system raw_tri=2368 kept_tri=2368 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 54 name=Sp_neck_P_4R category=reproductive_rectal_system raw_tri=2432 kept_tri=2432 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 55 name=Sp_bag_P_1V category=reproductive_rectal_system raw_tri=6144 kept_tri=6144 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 56 name=Sp_bag_P_2R category=reproductive_rectal_system raw_tri=1216 kept_tri=1216 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 57 name=Sp_bag_P_3V category=reproductive_rectal_system raw_tri=1216 kept_tri=1216 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 58 name=Sp_bag_P_1D category=reproductive_rectal_system raw_tri=6144 kept_tri=6144 skipped_deg=0
