19:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=WholeBodyEnvelope category=whole_body_parent raw_tri=22282 kept_tri=22282 skipped_deg=0
20:[OPENWORM-VALIDATOR][AGGREGATE_LOADED] 1 name=WholeBodyEnvelope category=whole_body_parent members=1
21:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VL22 category=BodyWallMuscle raw_tri=11552 kept_tri=11552 skipped_deg=0
22:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VL20 category=BodyWallMuscle raw_tri=11648 kept_tri=11648 skipped_deg=0
23:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VL18 category=BodyWallMuscle raw_tri=9600 kept_tri=9600 skipped_deg=0
24:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VL16 category=BodyWallMuscle raw_tri=6192 kept_tri=6192 skipped_deg=0
25:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VL14 category=BodyWallMuscle raw_tri=8912 kept_tri=8912 skipped_deg=0
26:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VL12 category=BodyWallMuscle raw_tri=9040 kept_tri=9040 skipped_deg=0
27:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VL10 category=BodyWallMuscle raw_tri=7488 kept_tri=7488 skipped_deg=0
28:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VL8 category=BodyWallMuscle raw_tri=3872 kept_tri=3872 skipped_deg=0
29:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VL6 category=BodyWallMuscle raw_tri=2608 kept_tri=2608 skipped_deg=0
30:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VL4 category=BodyWallMuscle raw_tri=1792 kept_tri=1792 skipped_deg=0
31:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VL2 category=BodyWallMuscle raw_tri=3744 kept_tri=3744 skipped_deg=0
32:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VL21 category=BodyWallMuscle raw_tri=3616 kept_tri=3616 skipped_deg=0
33:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VL19 category=BodyWallMuscle raw_tri=2650 kept_tri=2650 skipped_deg=0
34:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VL17 category=BodyWallMuscle raw_tri=4570 kept_tri=4570 skipped_deg=0
35:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VL15 category=BodyWallMuscle raw_tri=4960 kept_tri=4960 skipped_deg=0
36:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VL13 category=BodyWallMuscle raw_tri=3680 kept_tri=3680 skipped_deg=0
37:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VL11 category=BodyWallMuscle raw_tri=4192 kept_tri=4192 skipped_deg=0
38:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VL9 category=BodyWallMuscle raw_tri=4138 kept_tri=4138 skipped_deg=0
39:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VL7 category=BodyWallMuscle raw_tri=2794 kept_tri=2794 skipped_deg=0
40:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VL5 category=BodyWallMuscle raw_tri=2794 kept_tri=2794 skipped_deg=0
41:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VL3 category=BodyWallMuscle raw_tri=2394 kept_tri=2394 skipped_deg=0
42:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VL1 category=BodyWallMuscle raw_tri=3264 kept_tri=3264 skipped_deg=0
43:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VR22 category=BodyWallMuscle raw_tri=11072 kept_tri=11072 skipped_deg=0
44:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VR20 category=BodyWallMuscle raw_tri=12160 kept_tri=12160 skipped_deg=0
45:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VR18 category=BodyWallMuscle raw_tri=9610 kept_tri=9610 skipped_deg=0
46:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VR16 category=BodyWallMuscle raw_tri=6224 kept_tri=6224 skipped_deg=0
47:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VR14 category=BodyWallMuscle raw_tri=8912 kept_tri=8912 skipped_deg=0
48:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VR12 category=BodyWallMuscle raw_tri=9328 kept_tri=9328 skipped_deg=0
49:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VR10 category=BodyWallMuscle raw_tri=7104 kept_tri=7104 skipped_deg=0
50:[OPENWORM-VALIDATOR][MEMBER_LOADED] name=mu_bod_VR8 category=BodyWallMuscle raw_tri=3872 kept_tri=3872 skipped_deg=0
