
**************************************************************
 Geant4 version Name: geant4-11-03-patch-02 [MT]   (25-April-2025)
                       Copyright : Geant4 Collaboration
                      References : NIM A 506 (2003), 250-303
                                 : IEEE-TNS 53 (2006), 270-278
                                 : NIM A 835 (2016), 186-225
                             WWW : http://geant4.org/
**************************************************************

<<< Geant4 Physics List simulation engine: FTFP_BERT

[OPENWORM-VALIDATOR] manifest = /home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/openworm_object_stl_manifest_repaired.csv
[OPENWORM-VALIDATOR] objects  = 694
[OPENWORM-VALIDATOR][LOADED] 40 name=pm6D category=muscle/pharynx-muscle raw_tri=1128 kept_tri=1128 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 41 name=mc3DL category=muscle/pharynx-muscle raw_tri=1748 kept_tri=1748 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 42 name=pm6VR category=muscle/pharynx-muscle raw_tri=5024 kept_tri=5024 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 43 name=pm5VL category=muscle/pharynx-muscle raw_tri=5008 kept_tri=5008 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 44 name=pm5D category=muscle/pharynx-muscle raw_tri=5376 kept_tri=5376 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 45 name=mc2DL category=muscle/pharynx-muscle raw_tri=6336 kept_tri=6336 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 46 name=pm5VR category=muscle/pharynx-muscle raw_tri=4368 kept_tri=4368 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 47 name=pm4VL category=muscle/pharynx-muscle raw_tri=3376 kept_tri=3376 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 48 name=pm4D category=muscle/pharynx-muscle raw_tri=3218 kept_tri=3218 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 49 name=e3VL category=neuron-or-cell raw_tri=2736 kept_tri=2736 skipped_deg=0
[OPENWORM-VALIDATOR][LOADED] 50 name=e1VL category=neuron-or-cell raw_tri=2624 kept_tri=2624 skipped_deg=0
