a_phys,a,a_copy,b_phys,b,b_copy,pair_key,depth_um,cases
ow_mu_bod_VR15_phys,mu_bod_VR15,81,ow_uv2_Post_phys,uv2_Post,232,mu_bod_VR15||uv2_Post,0.130758,1
ow_mc2DL_phys,mc2DL,31,ow_pm5VL_phys,pm5VL,29,mc2DL||pm5VL,0.130525,1
ow_mc2DR_phys,mc2DR,18,ow_pm5D_phys,pm5D,30,mc2DR||pm5D,0.13012700000000002,1
ow_Arcade_Cell_Ant_phys,Arcade_Cell_Ant,3,ow_e3VL_phys,e3VL,35,Arcade_Cell_Ant||e3VL,0.129842,1
ow_uv3_Post_phys,uv3_Post,234,ow_vm2R_Post_phys,vm2R_Post,230,uv3_Post||vm2R_Post,0.129132,2
ow_pm8_phys,pm8,21,ow_mc3DL_phys,mc3DL,27,mc3DL||pm8,0.128878,6
ow_pm3D_phys,pm3D,41,ow_Arcade_Cell_Post_phys,Arcade_Cell_Post,4,Arcade_Cell_Post||pm3D,0.127175,2
ow_mu_bod_VR17_phys,mu_bod_VR17,80,ow_um2R_Post_phys,um2R_Post,219,mu_bod_VR17||um2R_Post,0.125996,2
ow_uv3_Post_phys,uv3_Post,234,ow_ut1_Post_phys,ut1_Post,240,ut1_Post||uv3_Post,0.125502,19
ow_mu_bod_VR15_phys,mu_bod_VR15,81,ow_uv1_Ant_phys,uv1_Ant,237,mu_bod_VR15||uv1_Ant,0.1254,4
ow_ut1_Post_phys,ut1_Post,240,ow_uv3_Post_phys,uv3_Post,234,ut1_Post||uv3_Post,0.12493699999999999,1
ow_mu_bod_VR22_phys,mu_bod_VR22,67,ow_Gonadal_Sheath_P3R_phys,Gonadal_Sheath_P3R,201,Gonadal_Sheath_P3R||mu_bod_VR22,0.124235,1
ow_vulD_phys,vulD,227,ow_vulC_phys,vulC,223,vulC||vulD,0.12312000000000001,15
ow_vm1L_Ant_phys,vm1L_Ant,208,ow_vulC_phys,vulC,223,vm1L_Ant||vulC,0.123063,1
ow_pm3VR_phys,pm3VR,43,ow_pm2VR_phys,pm2VR,13,pm2VR||pm3VR,0.123033,2
ow_vulC_phys,vulC,223,ow_vulD_phys,vulD,227,vulC||vulD,0.122914,8
ow_e3VR_phys,e3VR,6,ow_e2DR_phys,e2DR,7,e2DR||e3VR,0.121261,2
ow_utse_phys,utse,243,ow_uv1_Ant_phys,uv1_Ant,237,utse||uv1_Ant,0.12040000000000001,1
ow_Sp_neck_P_3L_phys,Sp_neck_P_3L,146,ow_Sp_neck_P_2L_phys,Sp_neck_P_2L,143,Sp_neck_P_2L||Sp_neck_P_3L,0.119409,2
