name,faces,verts,watertight,winding,euler,components,volume,area,span_x,span_y,span_z,min_face_area,p01_face_area,median_face_area,min_edge,p01_edge,median_edge,path
WU_body,24488,12246,True,True,2,1,0.003323105802778971,0.20494957756441629,0.07846299931406975,0.9999989867210388,0.18064899742603302,3.2971348266653016e-08,3.066763253588915e-06,8.065121560835537e-06,3.206248005797162e-05,0.0024196266944140027,0.004890640720849399,/home/asunkari/ros-worm/wu_c_elegans_mesh_model/split_adult_stls/Reproductive_system.stl
WU_digestive,10236,5122,True,True,4,2,0.0007292241067107691,0.09750392449936271,0.054694999009370804,0.9574950039386749,0.15418000519275665,5.290273824444523e-10,1.4117225542926088e-06,9.638543500607253e-06,2.308645444527462e-05,0.002333937306657454,0.005109221938592742,/home/asunkari/ros-worm/wu_c_elegans_mesh_model/split_adult_stls/Reproductive_system_1.stl
WU_reproductive,24476,12240,True,True,2,1,0.0005032969411125579,0.08303316752094758,0.06241200119256973,0.746150016784668,0.12668400257825851,1.885632757923607e-09,5.774580779341852e-07,3.4087243369877567e-06,2.000480890274048e-06,0.0014199725003334667,0.0030568243308683653,/home/asunkari/ros-worm/wu_c_elegans_mesh_model/split_adult_stls/Reproductive_system_2.stl
OURS_body,22282,11143,True,True,2,1,1.6225293495311872,12.80556983593961,0.6131789982318878,8.232243061065674,1.422340989112854,8.154455161199373e-10,3.46747872714598e-07,0.00019707844056184777,0.0005000886479258981,0.0008730677098546986,0.029826065177179378,/home/asunkari/ros-worm/openworm_geometry/compartment_pipeline/body_envelope_boolean_cuticle_fill_inset05_g4clean_area1e8/whole_body_envelope.stl
OURS_digestive,306542,152953,True,True,-318,33,0.30803277650246974,11.722483558928365,0.43056225776672363,7.728667259216309,1.2039858102798462,1.846622388210261e-13,4.026193023420461e-09,3.2140877451091577e-06,8.940696716308594e-08,7.228745200085239e-05,0.004072263232575273,/home/asunkari/ros-worm/openworm_geometry/compartment_pipeline/non_nervous_priority_bake/resolved_stls/DigestiveSystem_resolved.stl
OURS_reproductive,234046,117019,True,True,-4,56,0.16029046411096867,12.160611914170385,0.5028393864631653,5.806311845779419,0.9874113500118256,1.2854448901220755e-12,1.3644836238167598e-07,6.932239253798387e-06,1.745726840773222e-07,0.0004637212573608894,0.004475639449925572,/home/asunkari/ros-worm/openworm_geometry/compartment_pipeline/non_nervous_priority_bake/resolved_stls/ReproductiveSystem_resolved.stl
OURS_excretory,24842,12407,True,True,-14,2,0.0011172443082277195,0.59504025044123,0.5595697164535522,7.448114633560181,1.0155531466007233,2.0005709040647566e-12,8.118636562935149e-08,1.8800547684982167e-05,1.8782633750319072e-06,0.0004663019038386805,0.007303150366532468,/home/asunkari/ros-worm/openworm_geometry/compartment_pipeline/non_nervous_priority_bake/resolved_stls/ExcretorySystem_resolved.stl
OURS_muscle,465710,233039,True,True,184,99,0.16381172464465846,15.872659878968026,0.48480021953582764,7.351934909820557,1.3358134031295776,1.8915925719776071e-13,4.2620064208527673e-07,3.159891368210325e-05,3.7026954116580667e-07,0.00059310748942377,0.010240040595940383,/home/asunkari/ros-worm/openworm_geometry/compartment_pipeline/non_nervous_priority_bake/resolved_stls/BodyWallMuscle_resolved.stl
