face,area,min_edge,max_edge,aspect,cx,cy,cz
1741,3.6025024964482427e-09,0.0008157994321695789,0.02142405014291775,26.261418307121804,0.10468266904354095,3.263460954030355,0.07893133163452148
10501,5.6657085462845915e-09,0.0010928523322682477,0.005366806739708467,4.910825169370778,-0.2642376621564229,1.7410540183385212,0.36847532788912457
10969,2.1344888142800228e-09,0.0033610626036659087,0.01754722200268272,5.220736437204108,0.28591833511988324,0.8168513178825378,0.24785733222961426
11262,4.258760618123696e-09,0.0013112692182803568,0.008265671932390228,6.303565901768145,0.2026723325252533,1.843453327814738,0.43571000297864276
11973,9.192355545984009e-09,0.0011578456251139478,0.005143981570921998,4.442717974959537,0.13503766556580862,-2.876617670059204,0.595278004805247
12758,5.7752409415509525e-09,0.0006131674025093896,0.0013127112651982206,2.1408692957680815,0.1986396610736847,3.204392671585083,-0.13583067059516907
14829,3.3491674052420813e-09,0.0009920451573542895,0.00973759488495883,9.815677051363538,0.2570210099220276,-2.072718620300293,0.0901823341846466
15183,6.0620903485858866e-09,0.0030274996718995108,0.019403986578375547,6.409244816268178,-0.2601586679617564,-2.2316760222117105,0.23965300619602203
18604,9.844671085486717e-09,0.0016361289281694455,0.008164259500084012,4.989985422003664,-0.21679900089899698,0.5581523378690084,-0.16645633180936178
19609,1.0005961075652676e-09,0.002718571847641945,0.006168136664069352,2.2688885965693775,-0.09292033314704895,4.034637292226155,0.1248136634627978
20470,9.363521953618238e-09,0.0057911417265654975,0.02026995425553571,3.5001654617693214,0.1875610053539276,3.4782506624857583,-0.11768566817045212
21602,4.936726659090657e-09,0.0013366660331764859,0.006682919567810184,4.99969281925174,-0.045259332905213036,4.219173749287923,0.18194599946339926
21619,8.154455161199373e-10,0.0009373252655288869,0.0021111343934629595,2.252296477116457,-0.05063199872771899,4.201557000478108,0.17580900092919668
21758,7.6951367977363e-09,0.0007528230422241834,0.0040444329598936235,5.372355431556026,-0.06047433242201805,4.1561587651570635,0.16354266802469888
