eventID,regionID,region_key,parentPDG,secondaryPDG,ekin_keV,x_um,y_um,z_um,run_name,case,source_geometry,condition_label,dose_rate_Gy_s,pulse_s,nominal_total_dose_Gy,region_label
96375,1,body,22,11,1.7892025027516347,10.980920043792052,-446.1867307160601,-6.160248796780647,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
98060,1,body,22,11,1.1521470871362596,11.37933611751578,-183.2775424409791,-85.43340987103049,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
98133,1,body,22,11,2.434659839029542,33.3604267493706,-189.14013682181343,40.04712669936711,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
98163,1,body,22,11,3.2276513495987267,-34.27606740397758,-51.309170028671055,-44.82292371208608,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
98261,1,body,22,11,1.574988733975025,-36.54469752009983,-242.4527882885877,6.709645695137296,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
1611,1,body,22,11,2.1132037091557607,-29.23835756568759,-298.0118165640328,34.94727347934148,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
1630,1,body,22,11,0.8116388198028086,-31.48193615626056,-324.00061208371125,-8.897929396707989,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
1652,4,digestive,22,11,6.14811820698693,-5.8148342477637325,-67.8790918089196,-33.59233959990112,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Digestive system
1674,1,body,22,11,2.8484061577145137,30.464521493992628,-248.38417114157497,2.667825100000269,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
1703,1,body,22,11,0.8780093157650315,-2.9901201030348803,-483.4997112474872,-11.788520447632353,caseB_focused_1p0Gy_s_10s_full,Focused X-ray response,Focused beam,Focused beam: 1 Gy/s × 10 s,1.0,10.0,10.0,Residual body envelope
