region_id,region_key,description,material_name,material_class,density_g_cm3,events,edep_keV,edep_per_event_keV,edep_J,relative_fraction_of_scored_edep,run_name,case,source_geometry,condition_label,dose_rate_Gy_s,pulse_s,nominal_total_dose_Gy,expected_total_dose_Gy,region_label,mass_kg,total_model_mass_kg_for_scaling,scaled_region_energy_J,scaled_region_energy_eV,scaled_region_dose_Gy_mass_normalized,scaled_energy_fraction_equivalent_Gy
2,nervous,OpenWorm-derived nervous system,G4_BRAIN_ICRP,NIST_ICRP,1.04,100000,15.096304997066827,0.0001509630499706,2.418694712603791e-15,0.0088406535086654,caseC_diffuse_0p19Gy_s_20s_full,Diffuse dose-response,Diffuse field,Diffuse field: 0.19 Gy/s × 20 s,0.19,20.0,3.8,3.8,Nervous system,1.6148e-11,7.9617375235e-09,2.674704585343723e-10,1669419294.092466,16.56368953024352,0.03359448333292852
3,bodywall,Body wall muscle compartment,G4_MUSCLE_SKELETAL_ICRP,NIST_ICRP,1.05,100000,35.252017180543994,0.0003525201718054,5.647995822803415e-15,0.0206441820985508,caseC_diffuse_0p19Gy_s_20s_full,Diffuse dose-response,Diffuse field,Diffuse field: 0.19 Gy/s × 20 s,0.19,20.0,3.8,3.8,Body wall muscle,1.67583e-10,7.9617375235e-09,6.245815251727958e-10,3898331257.1065483,3.7269981153983145,0.07844789197449303
4,digestive,Digestive/intestine compartment,G4_TISSUE_SOFT_ICRP,NIST_ICRP,1.0,100000,22.233001990333964,0.0002223300199033,3.562119629258857e-15,0.0130200249062404,caseC_diffuse_0p19Gy_s_20s_full,Diffuse dose-response,Diffuse field,Diffuse field: 0.19 Gy/s × 20 s,0.19,20.0,3.8,3.8,Digestive system,3.65058e-10,7.9617375235e-09,3.939156792410913e-10,2458628286.555647,1.0790495736049923,0.04947609464371352
5,reproductive,Reproductive system compartment,G4_TESTIS_ICRP,NIST_ICRP,1.04,100000,43.347940924840046,0.0004334794092484,6.945105808179107e-15,0.0253852930306501,caseC_diffuse_0p19Gy_s_20s_full,Diffuse dose-response,Diffuse field,Diffuse field: 0.19 Gy/s × 20 s,0.19,20.0,3.8,3.8,Reproductive system,1.86288e-10,7.9617375235e-09,7.680219522552458e-10,4793615984.386188,4.122766642270279,0.09646411351647037
6,excretory,Excretory system compartment,G4_TISSUE_SOFT_ICRU-4,NIST_ICRU,1.0,100000,3.047123821438701,3.047123821438701e-05,4.882030587613876e-16,0.0017844476452068,caseC_diffuse_0p19Gy_s_20s_full,Diffuse dose-response,Diffuse field,Diffuse field: 0.19 Gy/s × 20 s,0.19,20.0,3.8,3.8,Excretory system,9.05235e-14,7.9617375235e-09,5.398775434714394e-11,336965058.6674574,596.3949068158428,0.00678090105178584
1,body,Whole-body/residual tissue envelope,G4_TISSUE_SOFT_ICRU-4,NIST_ICRU,1.0,100000,1588.6241840829798,0.0158862418408297,2.545256547945065e-13,0.9303253988106864,caseC_diffuse_0p38Gy_s_20s_full,Diffuse dose-response,Diffuse field,Diffuse field: 0.38 Gy/s × 20 s,0.38,20.0,7.6,7.6,Residual body envelope,7.22657e-09,7.9617375235e-09,5.6293250439498695e-08,351354833449.02344,7.789760624957441,7.0704730309612165
2,nervous,OpenWorm-derived nervous system,G4_BRAIN_ICRP,NIST_ICRP,1.04,100000,15.096304997066827,0.0001509630499706,2.418694712603791e-15,0.0088406535086654,caseC_diffuse_0p38Gy_s_20s_full,Diffuse dose-response,Diffuse field,Diffuse field: 0.38 Gy/s × 20 s,0.38,20.0,7.6,7.6,Nervous system,1.6148e-11,7.9617375235e-09,5.349409170687447e-10,3338838588.184932,33.12737906048704,0.06718896666585704
3,bodywall,Body wall muscle compartment,G4_MUSCLE_SKELETAL_ICRP,NIST_ICRP,1.05,100000,35.252017180543994,0.0003525201718054,5.647995822803415e-15,0.0206441820985508,caseC_diffuse_0p38Gy_s_20s_full,Diffuse dose-response,Diffuse field,Diffuse field: 0.38 Gy/s × 20 s,0.38,20.0,7.6,7.6,Body wall muscle,1.67583e-10,7.9617375235e-09,1.2491630503455915e-09,7796662514.213097,7.453996230796629,0.15689578394898607
4,digestive,Digestive/intestine compartment,G4_TISSUE_SOFT_ICRP,NIST_ICRP,1.0,100000,22.233001990333964,0.0002223300199033,3.562119629258857e-15,0.0130200249062404,caseC_diffuse_0p38Gy_s_20s_full,Diffuse dose-response,Diffuse field,Diffuse field: 0.38 Gy/s × 20 s,0.38,20.0,7.6,7.6,Digestive system,3.65058e-10,7.9617375235e-09,7.878313584821826e-10,4917256573.111294,2.1580991472099846,0.09895218928742704
5,reproductive,Reproductive system compartment,G4_TESTIS_ICRP,NIST_ICRP,1.04,100000,43.347940924840046,0.0004334794092484,6.945105808179107e-15,0.0253852930306501,caseC_diffuse_0p38Gy_s_20s_full,Diffuse dose-response,Diffuse field,Diffuse field: 0.38 Gy/s × 20 s,0.38,20.0,7.6,7.6,Reproductive system,1.86288e-10,7.9617375235e-09,1.5360439045104916e-09,9587231968.772375,8.245533284540558,0.19292822703294074
6,excretory,Excretory system compartment,G4_TISSUE_SOFT_ICRU-4,NIST_ICRU,1.0,100000,3.047123821438701,3.047123821438701e-05,4.882030587613876e-16,0.0017844476452068,caseC_diffuse_0p38Gy_s_20s_full,Diffuse dose-response,Diffuse field,Diffuse field: 0.38 Gy/s × 20 s,0.38,20.0,7.6,7.6,Excretory system,9.05235e-14,7.9617375235e-09,1.0797550869428789e-10,673930117.3349148,1192.7898136316855,0.01356180210357168
1,body,Whole-body/residual tissue envelope,G4_TISSUE_SOFT_ICRU-4,NIST_ICRU,1.0,100000,1588.62418408298,0.0158862418408298,2.5452565479450654e-13,0.9303253988106864,caseC_diffuse_0p56Gy_s_20s_full,Diffuse dose-response,Diffuse field,Diffuse field: 0.56 Gy/s × 20 s,0.56,20.0,11.200000000000001,11.200000000000001,Residual body envelope,7.22657e-09,7.9617375235e-09,8.295847433189283e-08,517786070345.9294,11.479647236779389,10.419644466679689
2,nervous,OpenWorm-derived nervous system,G4_BRAIN_ICRP,NIST_ICRP,1.04,100000,15.096304997066827,0.0001509630499706,2.418694712603791e-15,0.0088406535086654,caseC_diffuse_0p56Gy_s_20s_full,Diffuse dose-response,Diffuse field,Diffuse field: 0.56 Gy/s × 20 s,0.56,20.0,11.200000000000001,11.200000000000001,Nervous system,1.6148e-11,7.9617375235e-09,7.883339830486766e-10,4920393708.904112,48.81929545755986,0.09901531929705248
3,bodywall,Body wall muscle compartment,G4_MUSCLE_SKELETAL_ICRP,NIST_ICRP,1.05,100000,35.252017180543994,0.0003525201718054,5.647995822803415e-15,0.0206441820985508,caseC_diffuse_0p56Gy_s_20s_full,Diffuse dose-response,Diffuse field,Diffuse field: 0.56 Gy/s × 20 s,0.56,20.0,11.200000000000001,11.200000000000001,Body wall muscle,1.67583e-10,7.9617375235e-09,1.8408718636671879e-09,11489818441.99825,10.984836550647666,0.23121483950376898
