object_name,safe_name,category_guess,stl_path,raw_triangles,exported_triangles,skipped_degenerate,min_x,min_y,min_z,max_x,max_y,max_z,span_x,span_y,span_z,repair_used_meshfix,repair_watertight_after,repair_winding_after,repair_faces_after,compartment,geometry_role,role_note,validator_category
AUAL,AUAL,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/AUAL.stl,4416,4416,0,-0.0195598751306533,-3.1151914596557617,0.26349076628685,0.079677939414978,-2.63203763961792,0.5494658350944519,0.0992378145456314,0.4831538200378418,0.2859750688076019,False,True,True,4416,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
URYDL,URYDL,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/URYDL.stl,3904,3904,0,-0.0182877033948898,-3.4111056327819824,0.4974978566169739,0.050890527665615,-2.733451128005981,0.6129961013793945,0.0691782310605049,0.677654504776001,0.1154982447624206,False,True,True,3904,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
URYVL,URYVL,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/URYVL.stl,2624,2624,0,-0.0177409723401069,-3.4257986545562744,0.3915696740150451,0.0512144044041633,-2.732753276824951,0.5589494109153748,0.0689553767442703,0.6930453777313232,0.1673797369003296,False,True,True,2624,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
OLQVR,OLQVR,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/OLQVR.stl,2624,2624,0,-0.0981489792466163,-3.492910385131836,0.3983180522918701,-0.0386519357562065,-2.733130693435669,0.5682154893875122,0.0594970434904098,0.759779691696167,0.1698974370956421,False,True,True,2624,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
IL1VR,IL1VR,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/IL1VR.stl,2752,2752,0,-0.0899926573038101,-3.4929099082946777,0.387292742729187,-0.0386518687009811,-2.733279228210449,0.5682152509689331,0.0513407886028289,0.7596306800842285,0.1809225082397461,False,True,True,2752,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
IL1R,IL1R,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/IL1R.stl,3648,3648,0,-0.1234157383441925,-3.4939279556274414,0.4163269698619842,-0.0480090379714965,-2.7231814861297607,0.5915651917457581,0.0754067003726959,0.7707464694976807,0.1752382218837738,False,True,True,3648,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
NSMR,NSMR,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/NSMR.stl,3136,3136,0,-0.0738338157534599,-2.944422721862793,0.4068273305892944,0.0263076946139335,-2.596827507019043,0.5370016098022461,0.1001415103673935,0.34759521484375,0.1301742792129516,False,True,True,3136,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
MCR,MCR,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/MCR.stl,3904,3904,0,-0.0845533311367034,-3.06466007232666,0.4437296390533447,0.025168627500534,-2.8489763736724854,0.5634598731994629,0.1097219586372375,0.2156836986541748,0.1197302341461181,False,True,True,3904,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
MCL,MCL,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/MCL.stl,3904,3904,0,-0.0659025460481643,-3.064659833908081,0.4437296390533447,0.0438193902373313,-2.8489763736724854,0.5634599328041077,0.1097219362854957,0.2156834602355957,0.1197302937507629,False,True,True,3904,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
OLQDR,OLQDR,nervous_system,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/OLQDR.stl,3136,3136,0,-0.0874682813882827,-3.4917027950286865,0.485361099243164,-0.037867497652769,-2.740976095199585,0.6118018627166748,0.0496007837355136,0.7507266998291016,0.1264407634735107,True,True,True,3136,nervous_system,scoring_only,neuron/cell scoring atlas,nervous_system
