object_name,compartment,samples,frac_inside_body,outside_samples,watertight,faces,stl_path
pm3VL,digestive_system,5000,1.0,0,True,6576,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm3VL.stl
pm3D,digestive_system,5000,1.0,0,True,5232,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm3D.stl
mc1DL,digestive_system,5000,1.0,0,True,9312,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/mc1DL.stl
pm3VR,digestive_system,5000,1.0,0,True,6320,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm3VR.stl
pm7VR,digestive_system,4768,1.0,0,True,4768,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/pm7VR.stl
Sp_bag_P_4R,reproductive_rectal_system,1216,1.0,0,True,1216,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_P_4R.stl
Sp_neck_P_1L,reproductive_rectal_system,2304,1.0,0,True,2304,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_neck_P_1L.stl
Sp_neck_P_1R,reproductive_rectal_system,2304,1.0,0,True,2304,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_neck_P_1R.stl
Sp_neck_P_2L,reproductive_rectal_system,2368,1.0,0,True,2368,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_neck_P_2L.stl
Sp_neck_P_3R,reproductive_rectal_system,2432,1.0,0,True,2432,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_neck_P_3R.stl
Sp_neck_P_4L,reproductive_rectal_system,2432,1.0,0,True,2432,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_neck_P_4L.stl
Sp_neck_P_3L,reproductive_rectal_system,2432,1.0,0,True,2432,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_neck_P_3L.stl
Sp_neck_P_2R,reproductive_rectal_system,2368,1.0,0,True,2368,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_neck_P_2R.stl
Sp_neck_P_4R,reproductive_rectal_system,2432,1.0,0,True,2432,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_neck_P_4R.stl
Sp_bag_P_1V,reproductive_rectal_system,5000,1.0,0,True,6144,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_P_1V.stl
Sp_bag_P_2R,reproductive_rectal_system,1216,1.0,0,True,1216,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_P_2R.stl
Sp_bag_P_3V,reproductive_rectal_system,1216,1.0,0,True,1216,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_P_3V.stl
Sp_bag_P_1D,reproductive_rectal_system,5000,1.0,0,True,6144,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_P_1D.stl
Sp_bag_P_1R,reproductive_rectal_system,5000,1.0,0,True,6144,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_P_1R.stl
Sp_bag_P_1L,reproductive_rectal_system,5000,1.0,0,True,6144,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_P_1L.stl
Sp_bag_P_2D,reproductive_rectal_system,1216,1.0,0,True,1216,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_P_2D.stl
Sp_bag_P_2L,reproductive_rectal_system,1216,1.0,0,True,1216,/home/asunkari/ros-worm/openworm_geometry/object_stls_repaired_meshfix_defective/stl/Sp_bag_P_2L.stl
