axis,radius_units,radius_um,count
-3.586562119325002,0.050625332897625046,5.062533289762505,409
-3.5588263344764712,0.06957469291328804,6.957469291328803,112
-3.53109054962794,0.07120607894618484,7.120607894618485,96
-3.5033547647794085,0.0908993861581457,9.089938615814571,79
-3.4756189799308777,0.08839230885323054,8.839230885323055,67
-3.4478831950823468,0.0953685327871294,9.53685327871294,70
-3.4201474102338154,0.10125244969275003,10.125244969275004,61
-3.3924116253852845,0.125278147891518,12.527814789151801,59
-3.364675840536753,0.11499244207446113,11.499244207446113,56
-3.3369400556882223,0.11674048558533526,11.674048558533526,49
-3.3092042708396914,0.14440307709218952,14.440307709218953,47
-3.28146848599116,0.15005171437627404,15.005171437627403,40
-3.2537327011426287,0.1330073093156558,13.30073093156558,36
-3.225996916294098,0.1616163913966792,16.16163913966792,36
-3.198261131445567,0.1642936513653588,16.429365136535882,32
-3.170525346597036,0.16773412411333025,16.773412411333023,31
-3.1427895617485047,0.15016367862515678,15.01636786251568,30
-3.1150537768999733,0.16465966583104197,16.465966583104198,30
-3.0873179920514424,0.16279941928605135,16.279941928605133,27
-3.0595822072029115,0.19296149067066476,19.296149067066477,18
-3.0318464223543806,0.1743255612840989,17.43255612840989,21
-3.004110637505849,0.21616873385727997,21.616873385728,27
-2.976374852657318,0.22752588611368738,22.752588611368736,27
-2.948639067808787,0.2076891200637413,20.76891200637413,21
-2.920903282960256,0.188108264801071,18.810826480107103,15
-2.893167498111725,0.2100897567334459,21.00897567334459,26
-2.8654317132631935,0.19596132784193032,19.59613278419303,22
-2.8376959284146626,0.21697786732447635,21.697786732447636,23
-2.8099601435661317,0.2335514752921288,23.35514752921288,20
-2.7822243587176008,0.3119624809035893,31.19624809035893,28
-2.7544885738690694,0.27936299167126266,27.936299167126265,32
-2.726752789020538,0.3561109910418241,35.61109910418241,36
-2.699017004172007,0.3854269831169667,38.54269831169667,50
-2.6712812193234763,0.398917608210567,39.8917608210567,58
-2.6435454344749454,0.0896875082286334,8.96875082286334,250
-2.6158096496264136,0.11215172719297262,11.21517271929726,238
-2.5880738647778827,0.4117860786610538,41.17860786610538,46
-2.560338079929352,0.3149987536722156,31.49987536722156,28
-2.532602295080821,0.34197830440738325,34.19783044073832,22
-2.5048665102322896,0.2311699938762512,23.11699938762512,23
-2.4771307253837582,0.27597412839971686,27.597412839971685,28
-2.4493949405352273,0.2778639008754812,27.786390087548117,19
-2.4216591556866964,0.29424148797030747,29.424148797030746,20
-2.3939233708381655,0.24902495909218123,24.90249590921812,27
-2.3661875859896337,0.2895838560329416,28.95838560329416,19
-2.338451801141103,0.33653672299341497,33.653672299341494,22
-2.310716016292572,0.26485310321906963,26.48531032190696,20
-2.282980231444041,0.34904941238549547,34.90494123854955,13
-2.25524444659551,0.26947457131628116,26.947457131628116,28
-2.2275086617469784,0.3523935832329497,35.23935832329497,17
-2.1997728768984475,0.3647461916165171,36.47461916165171,16
-2.1720370920499166,0.2783526281420045,27.83526281420045,22
-2.1443013072013857,0.2900365211739787,29.00365211739787,18
-2.1165655223528543,0.29278154556798186,29.278154556798185,20
-2.088829737504323,0.3176111665563991,31.76111665563991,10
-2.061093952655792,0.28374734321056266,28.374734321056266,21
-2.033358167807261,0.326597092597583,32.6597092597583,13
-2.0056223829587303,0.34077945024344336,34.07794502434434,21
-1.977886598110199,0.40303924548275466,40.30392454827547,13
-1.9501508132616676,0.4627919234746363,46.279192347463635,17
-1.9224150284131367,0.28477607767691193,28.477607767691193,11
-1.8946792435646058,0.2953491209786518,29.534912097865178,20
-1.8669434587160745,0.433547968987191,43.3547968987191,14
-1.8392076738675436,0.3482317288511209,34.82317288511209,22
-1.8114718890190122,0.48041055927739557,48.041055927739556,7
-1.7837361041704813,0.29433897292394595,29.433897292394594,22
-1.75600031932195,0.42140052228798297,42.1400522287983,9
-1.728264534473419,0.3633391826086406,36.33391826086406,20
-1.7005287496248882,0.2914096236429077,29.14096236429077,14
-1.6727929647763569,0.31151333793165376,31.151333793165374,20
-1.645057179927826,0.3229797489349055,32.29797489349055,7
-1.6173213950792946,0.31728314132858615,31.728314132858614,22
-1.5895856102307637,0.3281813040452971,32.81813040452971,9
-1.5618498253822326,0.3137788988724533,31.37788988724533,20
-1.5341140405337015,0.45211597357796124,45.21159735779612,12
-1.5063782556851704,0.3874441504145707,38.74441504145707,16
-1.4786424708366392,0.4283956899600115,42.83956899600115,15
-1.4509066859881081,0.36468696460050265,36.46869646005027,17
-1.423170901139577,0.3855432819416148,38.55432819416148,16
-1.395435116291046,0.35173846247322965,35.17384624732296,20
-1.367699331442515,0.39199965071186266,39.19996507118626,12
-1.3399635465939839,0.34981787137338616,34.981787137338614,18
-1.3122277617454527,0.3636809566634659,36.36809566634659,13
-1.2844919768969216,0.31273943472090016,31.273943472090014,19
-1.2567561920483905,0.3059342986370021,30.593429863700212,13
-1.2290204071998594,0.3057053016560874,30.57053016560874,17
-1.2012846223513285,0.3121999084576431,31.21999084576431,20
-1.1735488375027974,0.3453604335263145,34.53604335263145,15
-1.1458130526542663,0.43188059600303735,43.18805960030374,15
-1.1180772678057351,0.27448668280411614,27.448668280411614,21
-1.090341482957204,0.316099270506242,31.609927050624197,10
-1.062605698108673,0.3653605099122984,36.53605099122984,26
-1.0348699132601418,0.34575629372796257,34.57562937279626,12
-1.0071341284116109,0.34791939201277833,34.791939201277835,22
-0.9793983435630798,0.3388137579646273,33.881375796462734,18
-0.9516625587145486,0.352371038834201,35.237103883420104,17
-0.9239267738660175,0.3143607892427301,31.43607892427301,17
-0.8961909890174864,0.3074213740456299,30.742137404562992,24
-0.8684552041689553,0.4716938255518248,47.16938255518248,14
-0.8407194193204242,0.31743093049568744,31.743093049568742,24
-0.8129836344718933,0.31054010082070943,31.054010082070942,23
-0.7852478496233621,0.3911317766290724,39.11317766290724,12
-0.757512064774831,0.27799467430705843,27.799467430705842,24
-0.7297762799262999,0.3200325525092384,32.00325525092384,13
-0.7020404950777688,0.3945326145624261,39.45326145624261,23
-0.6743047102292377,0.3404908075955449,34.04908075955449,27
-0.6465689253807065,0.49875201984720974,49.875201984720974,9
-0.6188331405321756,0.3281207349260171,32.81207349260171,23
-0.5910973556836445,0.4309563626143309,43.09563626143309,17
-0.5633615708351134,0.32845734862079595,32.845734862079595,17
-0.5356257859865823,0.3833817910811739,38.33817910811739,17
-0.5078900011380512,0.32104460730692613,32.104460730692615,15
-0.48015421628952004,0.42505690576790606,42.505690576790606,20
-0.4524184314409889,0.4300584945339825,43.00584945339825,20
-0.424682646592458,0.3218937057346451,32.18937057346451,13
-0.3969468617439269,0.4002900283978233,40.02900283978233,13
-0.3692110768953958,0.3483437126127321,34.83437126127321,17
-0.34147529204686466,0.4211774562374513,42.11774562374513,11
-0.31373950719833354,0.3279497359596547,32.79497359596547,20
-0.2860037223498024,0.36778342141626597,36.778342141626595,12
-0.2582679375012713,0.3839154606639423,38.39154606639423,18
-0.2305321526527404,0.4674913785087088,46.74913785087088,14
-0.2027963678042093,0.40878289121369993,40.878289121369995,13
-0.17506058295567817,0.5259582272889833,52.595822728898334,15
-0.14732479810714705,0.34999792750876135,34.99979275087613,15
-0.11958901325861593,0.4493862018251884,44.93862018251884,16
-0.09185322841008481,0.36864884750164834,36.86488475016483,14
-0.06411744356155369,0.41683002561828514,41.683002561828516,15
-0.03638165871302279,0.3542866719420607,35.42866719420607,15
-0.008645873864491671,0.35048600455177037,35.04860045517704,13
0.01908991098403945,0.3285820647554912,32.85820647554912,17
0.04682569583257057,0.35409031544892416,35.409031544892414,15
0.07456148068110169,0.3629953429100613,36.29953429100613,18
0.10229726552963281,0.3494005204005123,34.94005204005123,15
0.13003305037816393,0.3807434616205262,38.07434616205262,17
0.15776883522669483,0.47656457710025985,47.65645771002598,19
0.18550462007522595,0.42544276224723093,42.54427622472309,22
0.21324040492375707,0.3737181612067849,37.37181612067849,10
0.24097618977228819,0.40775317860331983,40.77531786033198,22
0.2687119746208193,0.5061129933488158,50.61129933488158,12
0.2964477594693504,0.33624832159496215,33.624832159496215,29
0.32418354431788154,0.45132033787774406,45.132033787774404,19
0.35191932916641244,0.3920823682694257,39.208236826942574,20
0.37965511401494356,0.38307364606960254,38.307364606960256,25
0.4073908988634747,0.3914697502885562,39.14697502885562,27
0.4351266837120056,0.43140334201246455,43.14033420124645,26
0.4628624685605369,0.3351079399153041,33.510793991530406,32
0.49059825340906826,0.42976644239665707,42.97664423966571,36
0.5183340382575992,0.5398771172514901,53.98771172514901,49
0.5460698231061301,0.5726860899366352,57.26860899366352,64
0.573805607954661,0.5403846051532093,54.03846051532093,89
0.6015413928031923,0.43230706615922726,43.23070661592273,70
0.6292771776517236,0.5867482712851705,58.67482712851705,61
0.6570129625002545,0.49469768806774456,49.469768806774454,31
0.6847487473487854,0.457258455595095,45.7258455595095,24
0.7124845321973168,0.41003984048522,41.003984048522,14
0.7402203170458481,0.35049755860539356,35.049755860539356,20
0.767956101894379,0.5531921384912952,55.319213849129525,11
0.7956918867429099,0.3386568032708867,33.86568032708867,21
0.8234276715914408,0.29652939137302137,29.652939137302138,16
0.8511634564399722,0.32495378378935336,32.495378378935335,16
0.8788992412885035,0.29026926504692224,29.026926504692224,14
0.9066350261370344,0.3817835526278153,38.17835526278153,19
0.9343708109855653,0.3472849381088859,34.72849381088859,14
0.9621065958340962,0.40679933639204785,40.67993363920478,16
0.9898423806826275,0.3574048882271555,35.74048882271555,14
1.0175781655311589,0.2806321679173999,28.063216791739993,11
1.0453139503796898,0.34630004013547927,34.630004013547925,19
1.0730497352282207,0.3551457690628704,35.51457690628704,17
1.100785520076752,0.4218955931672489,42.18955931672489,12
1.1285213049252834,0.3723764475293721,37.23764475293721,17
1.1562570897738143,0.40652553348433657,40.652553348433656,11
1.1839928746223451,0.32593280270201014,32.593280270201014,17
1.211728659470876,0.2814168732319336,28.14168732319336,7
1.2394644443194074,0.2813941291663204,28.13941291663204,24
1.2672002291679387,0.3615422767564891,36.15422767564891,6
1.2949360140164696,0.2814118853804107,28.141188538041067,32
1.3226717988650005,0.2812956482126538,28.12956482126538,0
1.3504075837135314,0.2811794110448969,28.11794110448969,20
1.3781433685620628,0.28297101373305805,28.297101373305804,12
1.405879153410594,0.2954639783985329,29.546397839853288,12
1.433614938259125,0.3716978202907217,37.16978202907217,18
1.461350723107656,0.387163472901717,38.7163472901717,10
1.4890865079561872,0.3304914403466954,33.04914403466954,22
1.5168222928047186,0.49466044367029327,49.466044367029326,7
1.5445580776532495,0.34520076861344806,34.520076861344805,26
1.5722938625017804,0.283910167683161,28.391016768316103,9
1.6000296473503113,0.33290088559996706,33.290088559996704,17
1.6277654321988426,0.3757175526195238,37.571755261952376,12
1.655501217047374,0.37065496389299624,37.065496389299625,12
1.6832370018959049,0.37430257754451723,37.43025775445172,18
1.7109727867444358,0.4070210254108656,40.70210254108656,12
1.7387085715929667,0.2940588689444201,29.405886894442013,13
1.766444356441498,0.4487712444692209,44.87712444692209,16
1.7941801412900293,0.3020173270570996,30.20173270570996,14
1.8219159261385602,0.28602136484326296,28.602136484326294,19
1.8496517109870911,0.2879113688200869,28.79113688200869,10
1.8773874958356225,0.3573003203629074,35.73003203629074,16
1.9051232806841538,0.36261606839022476,36.26160683902248,13
1.9328590655326847,0.39405447633659646,39.40544763365965,9
1.9605948503812156,0.34664139888517254,34.664139888517255,18
1.9883306352297465,0.34867271440900216,34.86727144090022,12
2.016066420078278,0.3654922014130094,36.54922014130094,18
2.043802204926809,0.3208746912849164,32.08746912849164,8
2.07153798977534,0.43111291639866567,43.111291639866565,17
2.099273774623871,0.34939997792395194,34.9399977923952,11
2.127009559472402,0.29223780957041917,29.223780957041917,18
2.1547453443209332,0.4574162963540099,45.74162963540099,9
2.1824811291694646,0.33026029671658336,33.026029671658335,19
2.2102169140179955,0.28769463817510726,28.769463817510726,11
2.2379526988665264,0.37351347575360905,37.351347575360904,6
2.2656884837150577,0.34411685589216157,34.411685589216155,22
2.293424268563589,0.2905239512339062,29.052395123390617,11
2.32116005341212,0.31528129200895144,31.528129200895144,13
